scenario_id,scenario_type,w_corpus_adequacy_score,w_normalization_stability_score,w_template_predictability_score,w_out_of_sample_performance_score,w_adversarial_robustness_score,raw_confidence,capped_confidence
rand_354,random_weights,0.236099,0.215774,0.232753,0.217206,0.098168,68.871832,68.871832
rand_355,random_weights,0.145530,0.027195,0.237361,0.429899,0.160015,57.170561,57.170561
rand_356,random_weights,0.276091,0.312700,0.070434,0.322599,0.018175,77.401590,77.401590
rand_357,random_weights,0.175894,0.060739,0.213977,0.086726,0.462664,70.556552,70.556552
rand_358,random_weights,0.193391,0.358313,0.199203,0.123167,0.125926,75.350096,75.350096
rand_359,random_weights,0.073969,0.094353,0.358268,0.006104,0.467306,63.266596,63.266596
rand_360,random_weights,0.097633,0.208511,0.273371,0.189354,0.231131,64.718409,64.718409
rand_361,random_weights,0.339204,0.312730,0.083958,0.083656,0.180452,85.349256,84.990000
rand_362,random_weights,0.210451,0.176368,0.064704,0.289108,0.259369,75.430372,75.430372
rand_363,random_weights,0.303782,0.081524,0.144621,0.342873,0.127200,69.173829,69.173829
rand_364,random_weights,0.244504,0.137006,0.294200,0.131557,0.192733,66.853204,66.853204
rand_365,random_weights,0.120277,0.042660,0.174162,0.297485,0.365416,64.908351,64.908351
rand_366,random_weights,0.275513,0.006983,0.180496,0.071643,0.465365,73.970099,73.970099
rand_367,random_weights,0.299663,0.050726,0.315469,0.157201,0.176942,64.403109,64.403109
rand_368,random_weights,0.192567,0.147381,0.327978,0.138012,0.194063,63.870337,63.870337
rand_369,random_weights,0.393849,0.200404,0.139530,0.081215,0.185001,81.336796,81.336796
rand_370,random_weights,0.155391,0.185254,0.156330,0.179970,0.323055,72.620396,72.620396
rand_371,random_weights,0.258123,0.208838,0.052382,0.333342,0.147315,76.139606,76.139606
rand_372,random_weights,0.403565,0.076071,0.200260,0.099520,0.220585,75.349795,75.349795
rand_373,random_weights,0.250879,0.254190,0.214511,0.248611,0.031809,69.835811,69.835811
rand_374,random_weights,0.194332,0.246881,0.141584,0.207237,0.209966,74.320090,74.320090
rand_375,random_weights,0.084632,0.393751,0.251090,0.105971,0.164556,71.414771,71.414771
rand_376,random_weights,0.109691,0.104000,0.332852,0.341609,0.111847,54.905171,54.905171
rand_377,random_weights,0.200714,0.236850,0.218018,0.143047,0.201372,71.795094,71.795094
rand_378,random_weights,0.129185,0.131711,0.219514,0.260183,0.259407,64.997982,64.997982
rand_379,random_weights,0.093159,0.336024,0.187354,0.313651,0.069812,67.812835,67.812835
rand_380,random_weights,0.088420,0.507707,0.099944,0.087863,0.216065,82.824534,82.824534
rand_381,random_weights,0.030791,0.196797,0.119249,0.345020,0.308143,67.482481,67.482481
rand_382,random_weights,0.087813,0.294672,0.218633,0.317320,0.081562,65.086896,65.086896
rand_383,random_weights,0.308153,0.113523,0.141828,0.286483,0.150013,71.723796,71.723796
rand_384,random_weights,0.227814,0.256550,0.076495,0.292815,0.146325,76.213426,76.213426
rand_385,random_weights,0.145370,0.216685,0.024742,0.433182,0.180020,72.673392,72.673392
rand_386,random_weights,0.124316,0.170178,0.303795,0.201382,0.200328,62.408370,62.408370
rand_387,random_weights,0.147621,0.151690,0.238155,0.049108,0.413427,71.262725,71.262725
rand_388,random_weights,0.165650,0.156669,0.229665,0.239796,0.208219,66.108610,66.108610
rand_389,random_weights,0.206581,0.117241,0.035551,0.363691,0.276936,73.767064,73.767064
