entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
1421,CLINE_1421,HT 93A,AB16 AB16 AB26,,AB16 AB16 AB26,AB16 AB16 AB26,AB16 AB16 AB26,3,3,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1422,CLINE_1422,HT 93A,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1423,CLINE_1423,HT 93A,AB45 AB65 AB81,,AB45 AB65 AB81,AB45 AB65 AB81,AB45 AB65 AB81,3,3,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1424,CLINE_1424,HT 93A,AB56 AB30 AB06,,AB56 AB30 AB06,AB56 AB30 AB06,AB56 AB30 AB06,3,3,2,http://sigla.phis.me/document/HT%2093a/index-word.html
1425,CLINE_1425,HT 93A,AB61 AB37 [?],,AB61 AB37 [?],AB61 AB37 [?],AB61 AB37 [?],3,3,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1426,CLINE_1426,HT 93A,AB67 AB07 AB30,,AB67 AB07 AB30,AB67 AB07 AB30,AB67 AB07 AB30,3,3,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1427,CLINE_1427,HT 93A,[?] AB77,,[?] AB77,[?] AB77,[?] AB77,2,2,1,http://sigla.phis.me/document/HT%2093a/index-word.html
1428,CLINE_1428,HT 93B,AB67 AB02,,AB67 AB02,AB67 AB02,AB67 AB02,2,2,1,http://sigla.phis.me/document/HT%2093b/index-word.html
1429,CLINE_1429,HT 94,DE DI,,DE DI,DE DI,DE DI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1430,CLINE_1430,HT 94,FIC,,FIC,FIC,FIC,1,1,3,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1431,CLINE_1431,HT 94,KA PA,,KA PA,KA PA,KA PA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1432,CLINE_1432,HT 94,KE KI RU,,KE KI RU,KE KI RU,KE KI RU,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1433,CLINE_1433,HT 94,KI RO,,KI RO,KI RO,KI RO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1434,CLINE_1434,HT 94,KU RO,,KU RO,KU RO,KU RO,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1435,CLINE_1435,HT 94,PA TA NE,,PA TA NE,PA TA NE,PA TA NE,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1436,CLINE_1436,HT 94,RA DE ME TE,,RA DE ME TE,RA DE ME TE,RA DE ME TE,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1437,CLINE_1437,HT 94,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1438,CLINE_1438,HT 94,SA RU,,SA RU,SA RU,SA RU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1439,CLINE_1439,HT 94,TI A,,TI A,TI A,TI A,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1440,CLINE_1440,HT 94,TU MA,,TU MA,TU MA,TU MA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1441,CLINE_1441,HT 94,VIR,,VIR,VIR,VIR,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1442,CLINE_1442,HT 94,VIR *313B,,VIR *313B,VIR *313B,VIR *313B,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1443,CLINE_1443,HT 94,[NAME,,[NAME,[NAME,[NAME,1,1,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1444,CLINE_1444,HT 94A,A318 A306,,A318 A306,A318 A306,A318 A306,2,2,1,http://sigla.phis.me/document/HT%2094a/index-word.html
1445,CLINE_1445,HT 94A,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%2094a/index-word.html
1446,CLINE_1446,HT 94A,AB77 AB03,,AB77 AB03,AB77 AB03,AB77 AB03,2,2,1,http://sigla.phis.me/document/HT%2094a/index-word.html
1447,CLINE_1447,HT 94A,AB81 AB02,,AB81 AB02,AB81 AB02,AB81 AB02,2,2,1,http://sigla.phis.me/document/HT%2094a/index-word.html
1448,CLINE_1448,HT 94B,AB03 AB59 AB24,,AB03 AB59 AB24,AB03 AB59 AB24,AB03 AB59 AB24,3,3,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1449,CLINE_1449,HT 94B,AB21F AB69,,AB21F AB69,AB21F AB69,AB21F AB69,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1450,CLINE_1450,HT 94B,AB31 AB26,,AB31 AB26,AB31 AB26,AB31 AB26,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1451,CLINE_1451,HT 94B,AB44 AB67 AB26,,AB44 AB67 AB26,AB44 AB67 AB26,AB44 AB67 AB26,3,3,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1452,CLINE_1452,HT 94B,AB45 AB07,,AB45 AB07,AB45 AB07,AB45 AB07,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1453,CLINE_1453,HT 94B,AB60 [?] AB45 AB13 AB04,,AB60 [?] AB45 AB13 AB04,AB60 [?] AB45 AB13 AB04,AB60 [?] AB45 AB13 AB04,5,5,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1454,CLINE_1454,HT 94B,AB67 AB02,,AB67 AB02,AB67 AB02,AB67 AB02,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1455,CLINE_1455,HT 94B,AB69 AB80,,AB69 AB80,AB69 AB80,AB69 AB80,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1456,CLINE_1456,HT 94B,AB81 AB02,,AB81 AB02,AB81 AB02,AB81 AB02,2,2,1,http://sigla.phis.me/document/HT%2094b/index-word.html
1457,CLINE_1457,HT 95,A DU,,A DU,A DU,A DU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1458,CLINE_1458,HT 95,DA DU MA TA,,DA DU MA TA,DA DU MA TA,DA DU MA TA,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1459,CLINE_1459,HT 95,DA ME,,DA ME,DA ME,DA ME,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1460,CLINE_1460,HT 95,DI DE RU,,DI DE RU,DI DE RU,DI DE RU,3,3,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1461,CLINE_1461,HT 95,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1462,CLINE_1462,HT 95,KU NI SU,,KU NI SU,KU NI SU,KU NI SU,3,3,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1463,CLINE_1463,HT 95,MI NU TE,,MI NU TE,MI NU TE,MI NU TE,3,3,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1464,CLINE_1464,HT 95,QE RA2 U,,QE RA2 U,QE RA2 U,QE RA2 U,3,3,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1465,CLINE_1465,HT 95,SA RU,,SA RU,SA RU,SA RU,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1466,CLINE_1466,HT 95A,AB01 AB13,,AB01 AB13,AB01 AB13,AB01 AB13,2,2,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1467,CLINE_1467,HT 95A,AB01 AB51 AB80 AB59,,AB01 AB51 AB80 AB59,AB01 AB51 AB80 AB59,AB01 AB51 AB80 AB59,4,4,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1468,CLINE_1468,HT 95A,AB07 AB45 AB26 AB78 AB76 AB10,,AB07 AB45 AB26 AB78 AB76 AB10,AB07 AB45 AB26 AB78 AB76 AB10,AB07 AB45 AB26 AB78 AB76 AB10,6,6,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1469,CLINE_1469,HT 95A,AB31 AB26,,AB31 AB26,AB31 AB26,AB31 AB26,2,2,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1470,CLINE_1470,HT 95A,AB73 AB55 AB04,,AB73 AB55 AB04,AB73 AB55 AB04,AB73 AB55 AB04,3,3,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1471,CLINE_1471,HT 95A,AB81 AB30 [?],,AB81 AB30 [?],AB81 AB30 [?],AB81 AB30 [?],3,3,1,http://sigla.phis.me/document/HT%2095a/index-word.html
1472,CLINE_1472,HT 95B,AB01 AB17,,AB01 AB17,AB01 AB17,AB01 AB17,2,2,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1473,CLINE_1473,HT 95B,AB07 AB45 AB26,,AB07 AB45 AB26,AB07 AB45 AB26,AB07 AB45 AB26,3,3,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1474,CLINE_1474,HT 95B,AB08 AB51,,AB08 AB51,AB08 AB51,AB08 AB51,2,2,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1475,CLINE_1475,HT 95B,AB31 AB26,,AB31 AB26,AB31 AB26,AB31 AB26,2,2,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1476,CLINE_1476,HT 95B,AB73 AB55 AB04,,AB73 AB55 AB04,AB73 AB55 AB04,AB73 AB55 AB04,3,3,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1477,CLINE_1477,HT 95B,AB78 AB76 AB10,,AB78 AB76 AB10,AB78 AB76 AB10,AB78 AB76 AB10,3,3,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1478,CLINE_1478,HT 95B,AB81 AB30 AB58,,AB81 AB30 AB58,AB81 AB30 AB58,AB81 AB30 AB58,3,3,1,http://sigla.phis.me/document/HT%2095b/index-word.html
1479,CLINE_1479,HT 96,A PA RA NE,,A PA RA NE,A PA RA NE,A PA RA NE,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1480,CLINE_1480,HT 96,FIC,,FIC,FIC,FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1481,CLINE_1481,HT 96,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1482,CLINE_1482,HT 96,I TI TI KU NI A PA RA NE A TE,,I TI TI KU NI A PA RA NE A TE,I TI TI KU NI A PA RA NE A TE,I TI TI KU NI A PA RA NE A TE,11,11,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1483,CLINE_1483,HT 96,I [?] GRA,,I [?] GRA,I [?] GRA,I [?] GRA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1484,CLINE_1484,HT 96,OLE U,,OLE U,OLE U,OLE U,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1485,CLINE_1485,HT 96,PI TA RA,,PI TA RA,PI TA RA,PI TA RA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1486,CLINE_1486,HT 96,QA RA RE,,QA RA RE,QA RA RE,QA RA RE,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1487,CLINE_1487,HT 96,RU SA,,RU SA,RU SA,RU SA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1488,CLINE_1488,HT 96,SI MI TA,,SI MI TA,SI MI TA,SI MI TA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1489,CLINE_1489,HT 96,TE FIC,,TE FIC,TE FIC,TE FIC,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1490,CLINE_1490,HT 96,]FIC,,]FIC,]FIC,]FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1491,CLINE_1491,HT 96,]KU MA RO,,]KU MA RO,]KU MA RO,]KU MA RO,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1492,CLINE_1492,HT 96A,AB08 AB03 AB60 AB24,,AB08 AB03 AB60 AB24,AB08 AB03 AB60 AB24,AB08 AB03 AB60 AB24,4,4,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1493,CLINE_1493,HT 96A,AB08 AB123 AB04,,AB08 AB123 AB04,AB08 AB123 AB04,AB08 AB123 AB04,3,3,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1494,CLINE_1494,HT 96A,AB26 AB31,,AB26 AB31,AB26 AB31,AB26 AB31,2,2,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1495,CLINE_1495,HT 96A,AB28 AB37 AB37 AB81 AB30,,AB28 AB37 AB37 AB81 AB30,AB28 AB37 AB37 AB81 AB30,AB28 AB37 AB37 AB81 AB30,5,5,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1496,CLINE_1496,HT 96A,AB39 AB59 AB60,,AB39 AB59 AB60,AB39 AB59 AB60,AB39 AB59 AB60,3,3,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1497,CLINE_1497,HT 96A,AB41 AB73 AB59,,AB41 AB73 AB59,AB41 AB73 AB59,AB41 AB73 AB59,3,3,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1498,CLINE_1498,HT 96A,AB81 AB80 AB02,,AB81 AB80 AB02,AB81 AB80 AB02,AB81 AB80 AB02,3,3,1,http://sigla.phis.me/document/HT%2096a/index-word.html
1499,CLINE_1499,HT 96B,AB08 AB03 AB60 AB24,,AB08 AB03 AB60 AB24,AB08 AB03 AB60 AB24,AB08 AB03 AB60 AB24,4,4,1,http://sigla.phis.me/document/HT%2096b/index-word.html
1500,CLINE_1500,HT 96B,AB16 AB118 AB60 AB27,,AB16 AB118 AB60 AB27,AB16 AB118 AB60 AB27,AB16 AB118 AB60 AB27,4,4,1,http://sigla.phis.me/document/HT%2096b/index-word.html
1501,CLINE_1501,HT 97,KA NU TI,,KA NU TI,KA NU TI,KA NU TI,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1502,CLINE_1502,HT 97,KA RU,,KA RU,KA RU,KA RU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1503,CLINE_1503,HT 97,MA DI,,MA DI,MA DI,MA DI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1504,CLINE_1504,HT 97,NA TI,,NA TI,NA TI,NA TI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1505,CLINE_1505,HT 97,PA I TO,,PA I TO,PA I TO,PA I TO,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1506,CLINE_1506,HT 97,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1507,CLINE_1507,HT 97,TA TI,,TA TI,TA TI,TA TI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1508,CLINE_1508,HT 97A,AB03 AB28 AB05,,AB03 AB28 AB05,AB03 AB28 AB05,AB03 AB28 AB05,3,3,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1509,CLINE_1509,HT 97A,AB06 AB37 AB80 AB07,,AB06 AB37 AB80 AB07,AB06 AB37 AB80 AB07,AB06 AB37 AB80 AB07,4,4,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1510,CLINE_1510,HT 97A,AB08,,AB08,AB08,AB08,1,1,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1511,CLINE_1511,HT 97A,AB45 [?],,AB45 [?],AB45 [?],AB45 [?],2,2,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1512,CLINE_1512,HT 97A,AB59 AB37,,AB59 AB37,AB59 AB37,AB59 AB37,2,2,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1513,CLINE_1513,HT 97A,AB77 AB26,,AB77 AB26,AB77 AB26,AB77 AB26,2,2,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1514,CLINE_1514,HT 97A,AB77 AB55 AB37,,AB77 AB55 AB37,AB77 AB55 AB37,AB77 AB55 AB37,3,3,1,http://sigla.phis.me/document/HT%2097a/index-word.html
1515,CLINE_1515,HT 97B,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%2097b/index-word.html
1516,CLINE_1516,HT 98,DA RU NE TE,,DA RU NE TE,DA RU NE TE,DA RU NE TE,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1517,CLINE_1517,HT 98,DI RE DI NA,,DI RE DI NA,DI RE DI NA,DI RE DI NA,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1518,CLINE_1518,HT 98,KA RI I,,KA RI I,KA RI I,KA RI I,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1519,CLINE_1519,HT 98,RO KE,,RO KE,RO KE,RO KE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1520,CLINE_1520,HT 98,TA NA TI,,TA NA TI,TA NA TI,TA NA TI,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1521,CLINE_1521,HT 98,]VINA,,]VINA,]VINA,]VINA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1522,CLINE_1522,HT 98A,AB02 AB44,,AB02 AB44,AB02 AB44,AB02 AB44,2,2,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1523,CLINE_1523,HT 98A,AB04 A301,,AB04 A301,AB04 A301,AB04 A301,2,2,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1524,CLINE_1524,HT 98A,AB07 AB27 AB07 AB06,,AB07 AB27 AB07 AB06,AB07 AB27 AB07 AB06,AB07 AB27 AB07 AB06,4,4,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1525,CLINE_1525,HT 98A,AB59 AB06 AB37,,AB59 AB06 AB37,AB59 AB06 AB37,AB59 AB06 AB37,3,3,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1526,CLINE_1526,HT 98A,AB69,,AB69,AB69,AB69,1,1,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1527,CLINE_1527,HT 98A,AB77 AB53 A310 AB28,,AB77 AB53 A310 AB28,AB77 AB53 A310 AB28,AB77 AB53 A310 AB28,4,4,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1528,CLINE_1528,HT 98A,[?] AB45,,[?] AB45,[?] AB45,[?] AB45,2,2,1,http://sigla.phis.me/document/HT%2098a/index-word.html
1529,CLINE_1529,HT 98B,AB01 AB26 AB24 AB04,,AB01 AB26 AB24 AB04,AB01 AB26 AB24 AB04,AB01 AB26 AB24 AB04,4,4,1,http://sigla.phis.me/document/HT%2098b/index-word.html
1530,CLINE_1530,HT 99,A DU,,A DU,A DU,A DU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1531,CLINE_1531,HT 99,DA SI,,DA SI,DA SI,DA SI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1532,CLINE_1532,HT 99,FIC,,FIC,FIC,FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1533,CLINE_1533,HT 99,GRA QE[,,GRA QE[,GRA QE[,GRA QE[,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1534,CLINE_1534,HT 99,RU MA TA,,RU MA TA,RU MA TA,RU MA TA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1535,CLINE_1535,HT 99,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1536,CLINE_1536,HT 99,SI SE FIC,,SI SE FIC,SI SE FIC,SI SE FIC,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1537,CLINE_1537,HT 99,VINA,,VINA,VINA,VINA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1538,CLINE_1538,HT 99,ZU DU,,ZU DU,ZU DU,ZU DU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
1539,CLINE_1539,HT 99A,AB08 AB51,,AB08 AB51,AB08 AB51,AB08 AB51,2,2,1,http://sigla.phis.me/document/HT%2099a/index-word.html
1540,CLINE_1540,HT 99A,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%2099a/index-word.html
1541,CLINE_1541,HT 99B,AB01 AB41 AB118,,AB01 AB41 AB118,AB01 AB41 AB118,AB01 AB41 AB118,3,3,1,http://sigla.phis.me/document/HT%2099b/index-word.html
1542,CLINE_1542,HT 99B,AB26 AB80 AB59,,AB26 AB80 AB59,AB26 AB80 AB59,AB26 AB80 AB59,3,3,1,http://sigla.phis.me/document/HT%2099b/index-word.html
1543,CLINE_1543,HT 99B,AB79 AB51,,AB79 AB51,AB79 AB51,AB79 AB51,2,2,1,http://sigla.phis.me/document/HT%2099b/index-word.html
1544,CLINE_1544,HT 9A,A306 AB69,,A306 AB69,A306 AB69,A306 AB69,2,2,1,http://sigla.phis.me/document/HT%209a/index-word.html
1545,CLINE_1545,HT 9A,A324 AB07 AB60,,A324 AB07 AB60,A324 AB07 AB60,A324 AB07 AB60,3,3,1,http://sigla.phis.me/document/HT%209a/index-word.html
1546,CLINE_1546,HT 9A,AB03 AB45,,AB03 AB45,AB03 AB45,AB03 AB45,2,2,1,http://sigla.phis.me/document/HT%209a/index-word.html
1547,CLINE_1547,HT 9A,AB07 AB06 AB10,,AB07 AB06 AB10,AB07 AB06 AB10,AB07 AB06 AB10,3,3,1,http://sigla.phis.me/document/HT%209a/index-word.html
1548,CLINE_1548,HT 9A,AB08 AB26 AB81 AB02,,AB08 AB26 AB81 AB02,AB08 AB26 AB81 AB02,AB08 AB26 AB81 AB02,4,4,1,http://sigla.phis.me/document/HT%209a/index-word.html
1549,CLINE_1549,HT 9A,AB31 AB02,,AB31 AB02,AB31 AB02,AB31 AB02,2,2,1,http://sigla.phis.me/document/HT%209a/index-word.html
1550,CLINE_1550,HT 9A,AB59 AB28 AB123,,AB59 AB28 AB123,AB59 AB28 AB123,AB59 AB28 AB123,3,3,1,http://sigla.phis.me/document/HT%209a/index-word.html
1551,CLINE_1551,HT 9A,AB78 AB50,,AB78 AB50,AB78 AB50,AB78 AB50,2,2,1,http://sigla.phis.me/document/HT%209a/index-word.html
1552,CLINE_1552,HT 9B,A306 AB69,,A306 AB69,A306 AB69,A306 AB69,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1553,CLINE_1553,HT 9B,A324 AB07 AB60,,A324 AB07 AB60,A324 AB07 AB60,A324 AB07 AB60,3,3,1,http://sigla.phis.me/document/HT%209b/index-word.html
1554,CLINE_1554,HT 9B,AB03 AB45,,AB03 AB45,AB03 AB45,AB03 AB45,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1555,CLINE_1555,HT 9B,AB07 AB06 AB10,,AB07 AB06 AB10,AB07 AB06 AB10,AB07 AB06 AB10,3,3,1,http://sigla.phis.me/document/HT%209b/index-word.html
1556,CLINE_1556,HT 9B,AB08 AB41,,AB08 AB41,AB08 AB41,AB08 AB41,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1557,CLINE_1557,HT 9B,AB54 AB57 AB39 [?],,AB54 AB57 AB39 [?],AB54 AB57 AB39 [?],AB54 AB57 AB39 [?],4,4,1,http://sigla.phis.me/document/HT%209b/index-word.html
1558,CLINE_1558,HT 9B,AB59 AB28 AB123,,AB59 AB28 AB123,AB59 AB28 AB123,AB59 AB28 AB123,3,3,1,http://sigla.phis.me/document/HT%209b/index-word.html
1559,CLINE_1559,HT 9B,AB77 A305,,AB77 A305,AB77 A305,AB77 A305,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1560,CLINE_1560,HT 9B,AB78 AB50,,AB78 AB50,AB78 AB50,AB78 AB50,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1561,CLINE_1561,HT 9B,AB81 AB02,,AB81 AB02,AB81 AB02,AB81 AB02,2,2,1,http://sigla.phis.me/document/HT%209b/index-word.html
1562,CLINE_1562,HT WA 1001,AB01 AB77,,AB01 AB77,AB01 AB77,AB01 AB77,2,2,1,http://sigla.phis.me/document/HT%20Wa%201001/index-word.html
1563,CLINE_1563,HT WA 1002,AB01 AB77,,AB01 AB77,AB01 AB77,AB01 AB77,2,2,1,http://sigla.phis.me/document/HT%20Wa%201002/index-word.html
1564,CLINE_1564,HT WA 1003,AB01 AB77,,AB01 AB77,AB01 AB77,AB01 AB77,2,2,1,http://sigla.phis.me/document/HT%20Wa%201003/index-word.html
1565,CLINE_1565,HT WA 1004,AB01 AB77,,AB01 AB77,AB01 AB77,AB01 AB77,2,2,1,http://sigla.phis.me/document/HT%20Wa%201004/index-word.html
1566,CLINE_1566,HT WA 1005,AB01 AB77,,AB01 AB77,AB01 AB77,AB01 AB77,2,2,1,http://sigla.phis.me/document/HT%20Wa%201005/index-word.html
1567,CLINE_1567,HT WA 1006,AB28 AB76,,AB28 AB76,AB28 AB76,AB28 AB76,2,2,1,http://sigla.phis.me/document/HT%20Wa%201006/index-word.html
1568,CLINE_1568,HT WA 1007,AB28 AB76,,AB28 AB76,AB28 AB76,AB28 AB76,2,2,1,http://sigla.phis.me/document/HT%20Wa%201007/index-word.html
1569,CLINE_1569,HT WA 1008,AB28 AB76,,AB28 AB76,AB28 AB76,AB28 AB76,2,2,1,http://sigla.phis.me/document/HT%20Wa%201008/index-word.html
