entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
554,CLINE_0554,HT 131,PO TO KU RO,,PO TO KU RO,PO TO KU RO,PO TO KU RO,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
555,CLINE_0555,HT 131,VINA SA,,VINA SA,VINA SA,VINA SA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
556,CLINE_0556,HT 131,]FIC,,]FIC,]FIC,]FIC,1,1,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
557,CLINE_0557,HT 131,]OLIV,,]OLIV,]OLIV,]OLIV,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
558,CLINE_0558,HT 131A,AB28 AB16 AB118,,AB28 AB16 AB118,AB28 AB16 AB118,AB28 AB16 AB118,3,3,1,http://sigla.phis.me/document/HT%20131a/index-word.html
559,CLINE_0559,HT 131B,AB11 AB05 AB81 AB02,,AB11 AB05 AB81 AB02,AB11 AB05 AB81 AB02,AB11 AB05 AB81 AB02,4,4,1,http://sigla.phis.me/document/HT%20131b/index-word.html
560,CLINE_0560,HT 132,A SE,,A SE,A SE,A SE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
561,CLINE_0561,HT 132,AB08 AB09,,AB08 AB09,AB08 AB09,AB08 AB09,2,2,1,http://sigla.phis.me/document/HT%20132/index-word.html
562,CLINE_0562,HT 132,AB16 AB27 AB05,,AB16 AB27 AB05,AB16 AB27 AB05,AB16 AB27 AB05,3,3,1,http://sigla.phis.me/document/HT%20132/index-word.html
563,CLINE_0563,HT 132,OVISF,,OVISF,OVISF,OVISF,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
564,CLINE_0564,HT 132,QA RE TO,,QA RE TO,QA RE TO,QA RE TO,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
565,CLINE_0565,HT 133,A DU,,A DU,A DU,A DU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
566,CLINE_0566,HT 133,AB08 AB51,,AB08 AB51,AB08 AB51,AB08 AB51,2,2,1,http://sigla.phis.me/document/HT%20133/index-word.html
567,CLINE_0567,HT 133,TE GRA DA,,TE GRA DA,TE GRA DA,TE GRA DA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
568,CLINE_0568,HT 135,MI KA[,,MI KA[,MI KA[,MI KA[,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
