inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
KN WC 26A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Wc%2026a/index-word.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,AB26 AB57,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 26B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Wc%2026b/index-word.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,AB30 AB39,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 29,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,CAPM,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 3,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Wc%203/index-word.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,unclassified,3,1,3,3,AB28 AB77,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 30,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Wc%2030/index-word.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,AB57 AB60,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 42,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,6,2,6,6,A IMPRESSION MOTIF NOT O PRESERVED,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 43,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,NOT PRESERVED,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN WC 48,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,KN,crete_central,sealed_document_or_roundel,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,B VESTIGIA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZB 20,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zb%2020/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,unclassified,3,1,3,3,AB06 AB08 AB56,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZB 35,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zb%2035/index-word.html; https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,7,5,7,7,AB07 AB40 AB57 ]DI ]JA[ ]OLE ]WI[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
