canonical_line_id,observation_id
CLINE_0608,OBS_000848
CLINE_0609,OBS_000847
CLINE_0610,OBS_000846
CLINE_0611,OBS_000849
CLINE_0612,OBS_000852
CLINE_0613,OBS_000853
CLINE_0614,OBS_000851
CLINE_0615,OBS_000850
CLINE_0616,OBS_000854
CLINE_0617,OBS_000860
CLINE_0618,OBS_000861
CLINE_0619,OBS_000862
CLINE_0620,OBS_000855
CLINE_0621,OBS_000856
CLINE_0622,OBS_000858
CLINE_0623,OBS_000859
CLINE_0624,OBS_000857
CLINE_0625,OBS_000865
CLINE_0626,OBS_000866
CLINE_0627,OBS_000864
CLINE_0628,OBS_000863
CLINE_0629,OBS_000869
CLINE_0630,OBS_000867
CLINE_0631,OBS_000868
CLINE_0632,OBS_000870
CLINE_0633,OBS_000872
CLINE_0634,OBS_000871
CLINE_0635,OBS_000873
CLINE_0636,OBS_000874
CLINE_0636,OBS_000875
CLINE_0637,OBS_000879
CLINE_0638,OBS_000880
CLINE_0639,OBS_000878
CLINE_0640,OBS_000876
CLINE_0641,OBS_000877
CLINE_0642,OBS_000886
CLINE_0643,OBS_000887
CLINE_0644,OBS_000885
CLINE_0645,OBS_000882
CLINE_0646,OBS_000883
CLINE_0647,OBS_000884
CLINE_0648,OBS_000881
CLINE_0649,OBS_000894
CLINE_0650,OBS_000895
CLINE_0651,OBS_000891
CLINE_0652,OBS_000892
CLINE_0653,OBS_000888
CLINE_0654,OBS_000889
CLINE_0655,OBS_000890
CLINE_0656,OBS_000893
CLINE_0657,OBS_000901
CLINE_0658,OBS_000902
CLINE_0659,OBS_000900
CLINE_0660,OBS_000899
CLINE_0661,OBS_000897
CLINE_0662,OBS_000898
CLINE_0663,OBS_000896
CLINE_0664,OBS_000904
CLINE_0665,OBS_000910
CLINE_0666,OBS_000911
CLINE_0667,OBS_000905
CLINE_0668,OBS_000903
CLINE_0668,OBS_000907
CLINE_0669,OBS_000908
CLINE_0670,OBS_000906
CLINE_0670,OBS_000909
CLINE_0671,OBS_000917
CLINE_0672,OBS_000920
CLINE_0673,OBS_000919
CLINE_0674,OBS_000918
CLINE_0675,OBS_000916
CLINE_0676,OBS_000912
CLINE_0677,OBS_000913
CLINE_0678,OBS_000914
CLINE_0679,OBS_000915
CLINE_0680,OBS_000926
CLINE_0681,OBS_000924
CLINE_0682,OBS_000923
CLINE_0683,OBS_000925
CLINE_0684,OBS_000922
CLINE_0685,OBS_000921
CLINE_0686,OBS_000927
CLINE_0687,OBS_000945
CLINE_0688,OBS_000929
CLINE_0689,OBS_000939
CLINE_0690,OBS_000931
CLINE_0690,OBS_000942
CLINE_0691,OBS_000941
CLINE_0692,OBS_000928
CLINE_0693,OBS_000932
CLINE_0694,OBS_000933
CLINE_0695,OBS_000940
CLINE_0696,OBS_000934
CLINE_0696,OBS_000943
CLINE_0697,OBS_000935
