cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_113,SEQ_1215,KI TA I,1,3,HT 123 124,1
CL_308,SEQ_1216,KU KO E,1,3,KH 7,1
CL_026,SEQ_1217,KU MA JU,1,3,HT 20,1
CL_013,SEQ_1218,KU NI TE,1,3,KH 92,1
CL_025,SEQ_1219,KU PA JA,1,3,HT 116,1
CL_309,SEQ_122,OLE E,3,2,"HT 2,HT 21,HT 50",3
CL_025,SEQ_1220,KU PA RI,1,3,PE 1,1
CL_025,SEQ_1221,KU PA ZU,1,3,KH 5,1
CL_037,SEQ_1222,KU PA3 PA3,1,3,HT 88,1
CL_112,SEQ_1223,KU RA MU,1,3,HT 117,1
CL_013,SEQ_1224,KU RA2 NE,1,3,HT10,1
CL_013,SEQ_1225,KU RA2 SI,1,3,HT10,1
CL_013,SEQ_1226,KU RA2 TA,1,3,HT10,1
CL_013,SEQ_1227,KU RA2 TE,1,3,HT10,1
CL_026,SEQ_1228,KU RE JU,1,3,HT 117,1
CL_033,SEQ_1229,KU RU KU,1,3,HT 87,1
CL_310,SEQ_123,OLE NE,3,2,"HT 100,HT 23,HT 32",3
CL_033,SEQ_1230,KU RU MA,1,3,HT 115,1
CL_311,SEQ_1231,MA I MI,1,3,HT 89,1
CL_060,SEQ_1232,MA RI I,1,3,HT 6,1
CL_038,SEQ_1233,MA RU ME,1,3,HT 24,1
CL_038,SEQ_1234,MA RU RE,1,3,KH 43,1
CL_312,SEQ_1235,MA TE TI,1,3,PK 1,1
CL_313,SEQ_1236,ME KI DI,1,3,ZA 14,1
CL_114,SEQ_1237,MI NU MI,1,3,HT 47,1
CL_314,SEQ_1238,MI ZA SE,1,3,ZA 15,1
CL_002,SEQ_1239,NA DA RE,1,3,HT 117,1
CL_315,SEQ_124,OLE TU,3,2,"HT 23,HT 28,TY 3",3
CL_316,SEQ_1240,NA QIF NE[,1,3,HT 135,1
CL_115,SEQ_1241,NE MI NA,1,3,HT 135,1
CL_317,SEQ_1242,NU RA JA,1,3,HT 115,1
CL_318,SEQ_1243,O TE JA,1,3,PK 1,1
CL_028,SEQ_1244,OLE KI ME,1,3,TY 3,1
CL_028,SEQ_1245,OLE KI U,1,3,TY 3,1
CL_085,SEQ_1246,OLE QE DI,1,3,HT 121,1
CL_044,SEQ_1247,PA DA KU[,1,3,HT 127,1
CL_044,SEQ_1248,PA DA NI,1,3,KH 79 89,1
CL_044,SEQ_1249,PA DA RU,1,3,TY 2,1
CL_319,SEQ_125,QA I,3,2,"HT 122,HT 8,HT 85",3
CL_116,SEQ_1250,PA I KI[,1,3,HT 62 73,1
CL_019,SEQ_1251,PA NA TU,1,3,KH 7,1
CL_320,SEQ_1252,PA NU QE,1,3,ZA 14,1
CL_117,SEQ_1253,PA OLE MI[,1,3,TY 3,1
CL_018,SEQ_1254,PA RA NE,1,3,HT 115,1
CL_321,SEQ_1255,PA RO SU,1,3,HT 20,1
CL_017,SEQ_1256,PA SE JA,1,3,HT 93,1
CL_018,SEQ_1257,PA TA DA,1,3,PH 31,1
CL_018,SEQ_1258,PA TA DA[,1,3,PH 31,1
CL_061,SEQ_1259,PA3 NI NA[,1,3,HT 93,1
CL_009,SEQ_126,RE ZA,3,2,"HT 13,HT 88,KH 86",3
CL_322,SEQ_1260,PI KU ZU,1,3,TY 3,1
CL_002,SEQ_1261,PI TA JA,1,3,HT 6,1
CL_002,SEQ_1262,PI TA RA,1,3,HT 96,1
CL_323,SEQ_1263,PO DI PA3,1,3,KN 22,1
CL_324,SEQ_1264,PU MA KU[,1,3,HT 139,1
CL_118,SEQ_1265,QA NU MA,1,3,HT 116,1
CL_325,SEQ_1266,QA QA DA,1,3,PE 2,1
CL_326,SEQ_1267,QA QA ]RU,1,3,PH 31,1
CL_030,SEQ_1268,QA RA RE,1,3,HT 96,1
CL_327,SEQ_1269,QA RA2 WA,1,3,HT 86,1
CL_023,SEQ_127,TE GRA,3,2,"HT 14,HT 21,HT 40",3
CL_328,SEQ_1270,QA RE TO,1,3,HT 132,1
CL_062,SEQ_1271,QA TI JU,1,3,ZA 14,1
CL_062,SEQ_1272,QA TI KI,1,3,KH 7,1
CL_029,SEQ_1273,QE GRA PA,1,3,ZA 11,1
CL_026,SEQ_1274,QE KU RE,1,3,HT 20,1
CL_329,SEQ_1275,QE PI TA,1,3,HT 6,1
CL_119,SEQ_1276,QE RA2 JA[,1,3,HT 3,1
CL_119,SEQ_1277,QE RA2 U,1,3,HT 95,1
CL_063,SEQ_1278,QE SU PU,1,3,HT 87,1
CL_064,SEQ_1279,QE TU RA,1,3,HT7,1
CL_330,SEQ_128,TE VINA,3,2,"HT 19,HT 62 73,HT 9",3
CL_331,SEQ_1280,QIF JA DU,1,3,HT 84,1
CL_120,SEQ_1281,RA MA SI,1,3,ZA 11,1
CL_332,SEQ_1282,RA RI DE[,1,3,HT 113,1
CL_333,SEQ_1283,RA TI SE,1,3,HT 6,1
CL_334,SEQ_1284,RA2 RO RE,1,3,ZA 10,1
CL_335,SEQ_1285,RE DI SE,1,3,HT 85,1
CL_336,SEQ_1286,RI KA TA,1,3,HT 146,1
CL_337,SEQ_1287,RI MI SI,1,3,HT 119,1
CL_033,SEQ_1288,RI RU MA,1,3,HT 118,1
CL_338,SEQ_1289,RI TA JE,1,3,KH 6,1
CL_121,SEQ_129,A324 AB07 AB60,3,3,"HT 122A,HT 9A,HT 9B",3
CL_339,SEQ_1290,RO SI RA[,1,3,ZA 9,1
CL_340,SEQ_1291,RU I KO,1,3,HT 24,1
CL_122,SEQ_1292,RU PI[ MI,1,3,PE 2,1
CL_341,SEQ_1293,RU ZU NA,1,3,HT 11,1
CL_014,SEQ_1294,SA JA MA,1,3,HT 31,1
CL_014,SEQ_1295,SA MA RO,1,3,HT 88,1
CL_342,SEQ_1296,SA MU KU,1,3,HT 34,1
CL_123,SEQ_1297,SA QE RI,1,3,HT 11,1
CL_343,SEQ_1298,SA RA RA,1,3,HT 30,1
CL_026,SEQ_1299,SA RE JU,1,3,HT 20,1
CL_001,SEQ_130,AB01 AB78 AB60,3,3,"HT 120,HT 57A,HT 6A",3
CL_014,SEQ_1300,SA RO QE[,1,3,HT 62 73,1
CL_344,SEQ_1301,SA SA ME,1,3,HT 23,1
CL_034,SEQ_1302,SE KU TU,1,3,HT 115,1
CL_345,SEQ_1303,SE SA PA3,1,3,PH 2,1
CL_002,SEQ_1304,SI AU RE,1,3,PH 31,1
CL_002,SEQ_1305,SI DA RO,1,3,GO 2,1
CL_002,SEQ_1306,SI DA TE,1,3,ARKH 2,1
CL_346,SEQ_1307,SI DI JA,1,3,HT 126,1
CL_347,SEQ_1308,SI I SI,1,3,KH 51,1
CL_024,SEQ_1309,SI KI NE,1,3,HT 116,1
CL_005,SEQ_131,AB03 AB09 AB57,3,3,"HT 93A,HT WC 3001,HT WC 3002",3
CL_024,SEQ_1310,SI KI RA,1,3,HT 8,1
CL_065,SEQ_1311,SI ME KI,1,3,HT 24,1
CL_002,SEQ_1312,SI MI TA,1,3,HT 96,1
CL_348,SEQ_1313,SI NE TI,1,3,PK 1,1
CL_002,SEQ_1314,SI SE FIC,1,3,HT 99,1
CL_002,SEQ_1315,SI SE TE,1,3,HT 42 59,1
CL_066,SEQ_1316,SI TE TU,1,3,ZA 20,1
CL_349,SEQ_1317,SI[ ]I [?],1,3,HT 34,1
CL_045,SEQ_1318,SUS I [?],1,3,HT 118,1
CL_350,SEQ_1319,SUS SI RE,1,3,PH 31,1
CL_010,SEQ_132,AB08 AB77 AB26,3,3,"HT 2,HT 86A,HT 86B",3
CL_351,SEQ_1320,TA MA PI,1,3,ZA 21,1
CL_002,SEQ_1321,TA NA TE,1,3,ZA 10,1
CL_022,SEQ_1322,TA RI NA,1,3,HT 10,1
CL_002,SEQ_1323,TA2 TA RE,1,3,PK 1,1
CL_352,SEQ_1324,TA2 TI TE,1,3,PK 1,1
CL_023,SEQ_1325,TE GRA DA,1,3,HT 133,1
CL_023,SEQ_1326,TE GRA F,1,3,HT 44,1
CL_047,SEQ_1327,TE JA RE,1,3,HT 117,1
CL_353,SEQ_1328,TE NU RE[,1,3,KH 6,1
CL_124,SEQ_1329,TE RI HT,1,3,PH 31,1
CL_354,SEQ_133,AB16 AB16 AB26,3,3,"HT 118,HT 122B,HT 93A",3
CL_002,SEQ_1330,TI DA TA,1,3,HT 123 124,1
CL_355,SEQ_1331,TI DU NI,1,3,HT 49,1
CL_002,SEQ_1332,TI NI TA,1,3,HT 27,1
CL_125,SEQ_1333,TI RU SI,1,3,HT7,1
CL_356,SEQ_1334,TI TI KU,1,3,HT 35,1
CL_357,SEQ_1335,TU ME SE,1,3,ZA 4,1
CL_358,SEQ_1336,TU QE NU[,1,3,HT 25,1
CL_125,SEQ_1337,TU RU SI,1,3,HT7,1
CL_067,SEQ_1338,TU SU PU2,1,3,HT 49,1
CL_359,SEQ_1339,U DI MI,1,3,HT 117,1
CL_043,SEQ_134,AB21F AB69 AB24,3,3,"HT 117B,HT 7B,HT 87",3
CL_360,SEQ_1340,U NA NA,1,3,MA 2,1
CL_361,SEQ_1341,U NU QIF,1,3,HT 26,1
CL_362,SEQ_1342,U RE WI,1,3,HT 25,1
CL_363,SEQ_1343,U TA RO,1,3,HT 116,1
CL_068,SEQ_1344,VINA GRA SA,1,3,HT 27,1
CL_068,SEQ_1345,VINA WA SA,1,3,HT 27,1
CL_086,SEQ_1346,VIR KA VINA,1,3,HT 28,1
CL_126,SEQ_1347,WA JA PI,1,3,HT 9,1
CL_022,SEQ_1348,WI DI NA,1,3,HT 28,1
CL_127,SEQ_1349,WI NA DU,1,3,KH 5,1
CL_364,SEQ_135,AB59 AB28 AB123,3,3,"HT 39,HT 9A,HT 9B",3
CL_365,SEQ_1350,ZA SI ZU,1,3,ARKH 4,1
CL_366,SEQ_1351,ZU 22F DI,1,3,HT 101,1
CL_367,SEQ_1352,ZU JU PU2,1,3,HT 25,1
CL_001,SEQ_1353,[?] A320 [?],1,3,PH 16B,1
CL_128,SEQ_1354,[?] AB01 AB28,1,3,KH 13,1
CL_129,SEQ_1355,[?] AB03 AB01,1,3,KH 79,1
CL_001,SEQ_1356,[?] AB08 AB53,1,3,HT 141,1
CL_001,SEQ_1357,[?] AB08 [?],1,3,PH 31A,1
CL_130,SEQ_1358,[?] AB118 AB77,1,3,HT 140,1
CL_021,SEQ_1359,[?] AB27 AB37,1,3,MA 2B,1
CL_102,SEQ_136,AB73 AB55 AB04,3,3,"HT 86A,HT 95A,HT 95B",3
CL_006,SEQ_1360,[?] AB30 AB59,1,3,ARKH 4A,1
CL_069,SEQ_1361,[?] AB31 AB50,1,3,KN 32B,1
CL_069,SEQ_1362,[?] AB31 AB60,1,3,HT 62 73,1
CL_001,SEQ_1363,[?] AB37 AB31,1,3,HT 31,1
CL_001,SEQ_1364,[?] AB37 AB53,1,3,PH 30,1
CL_070,SEQ_1365,[?] AB40 AB51,1,3,HT 5,1
CL_070,SEQ_1366,[?] AB40 AB57,1,3,PH 18A,1
CL_021,SEQ_1367,[?] AB55 AB37,1,3,ZA 9,1
CL_001,SEQ_1368,[?] AB57 AB31,1,3,PH 16B,1
CL_001,SEQ_1369,[?] AB57 AB39,1,3,ARKH 3B,1
CL_005,SEQ_137,AB77 AB81 AB03,3,3,"HT 16,HT WC 3015A,HT WC 3016A",3
CL_001,SEQ_1370,[?] AB57 AB58,1,3,KN 32B,1
CL_001,SEQ_1371,[?] AB57 [?],1,3,KH 90,1
CL_001,SEQ_1372,[?] AB58 AB03,1,3,ZA 13,1
CL_070,SEQ_1373,[?] AB76 AB51,1,3,HT 49A,1
CL_004,SEQ_1374,[?] AB80 AB65,1,3,ZA 9,1
CL_001,SEQ_1375,[?] [?] AB08,1,3,KH 73,1
CL_001,SEQ_1376,[?] [?] [?],1,3,PH WC 45,1
CL_008,SEQ_1377,[[A KA RU,1,3,HT 86,1
CL_013,SEQ_1378,[[KU NI SU,1,3,HT 86,1
CL_071,SEQ_1379,]*309B RI JU,1,3,TY 2,1
CL_029,SEQ_138,I GRA PA,3,3,"HT 120,HT 43,HT 93",3
CL_131,SEQ_1380,]A SU MI,1,3,ARKH 1,1
CL_011,SEQ_1381,]DI JA I,1,3,HT 29,1
CL_368,SEQ_1382,]DI PA JA[,1,3,PH 7,1
CL_369,SEQ_1383,]DU NE MI,1,3,HT 127,1
CL_370,SEQ_1384,]E KU RU,1,3,ZA 11,1
CL_371,SEQ_1385,]JA[ ]DI ]WI[,1,3,KN ZB 35,1
CL_372,SEQ_1386,]KI SA NE,1,3,KH 6,1
CL_014,SEQ_1387,]KU MA RO,1,3,HT 96,1
CL_373,SEQ_1388,]KU ME TA,1,3,HT 51,1
CL_037,SEQ_1389,]KU PA3 NU,1,3,HT 3,1
CL_013,SEQ_139,KU NI SU,3,3,"HT 10,HT 86,HT 95",3
CL_026,SEQ_1390,]KU RE JU,1,3,HT 39,1
CL_374,SEQ_1391,]KU ZU NA[,1,3,HT 64,1
CL_375,SEQ_1392,]MA TE RE,1,3,PH 15,1
CL_376,SEQ_1393,]PA RI DE,1,3,KH 99,1
CL_377,SEQ_1394,]RA NA RE[,1,3,HT 47,1
CL_378,SEQ_1395,]RE A JA,1,3,KH 97,1
CL_379,SEQ_1396,]RI SU MA,1,3,HT 81,1
CL_380,SEQ_1397,]SA MA TI,1,3,HT 39,1
CL_132,SEQ_1398,]SA RA DI,1,3,HT 27,1
CL_023,SEQ_1399,]SE GRA F,1,3,KH 28,1
CL_114,SEQ_140,MI NU TE,3,3,"HT 106,HT 86,HT 95",3
CL_381,SEQ_1400,]SU JU TA,1,3,KN 22,1
CL_025,SEQ_1401,]TU PA RI,1,3,HT 79 83,1
CL_029,SEQ_1402,]VIR GRA PA,1,3,HT 102,1
CL_071,SEQ_1403,*309A RI WA JU,1,4,TY 2,1
CL_382,SEQ_1404,*402VAS PA TA QE,1,4,HT 31,1
CL_383,SEQ_1405,*402VAS SU PA3 RA,1,4,HT 31,1
CL_384,SEQ_1406,*416VAS KA RO PA3,1,4,HT 31,1
CL_385,SEQ_1407,?? RE I KE,1,4,PS ZA 2,1
CL_386,SEQ_1408,A DA QIF RI,1,4,KH 92,1
CL_387,SEQ_1409,A KU JU PA,1,4,PA 1,1
CL_018,SEQ_141,PA TA NE,3,3,"HT 122,HT 94,PH 31",3
CL_133,SEQ_1410,A KU MI NA,1,4,ZA 10,1
CL_134,SEQ_1411,A MI DA O,1,4,PH 31,1
CL_134,SEQ_1412,A MI DA U,1,4,ZA 10,1
CL_018,SEQ_1413,A PA RA NE,1,4,HT 96,1
CL_388,SEQ_1414,A PU2 NA DU,1,4,HT 14,1
CL_034,SEQ_1415,A RA A TU,1,4,HT 87,1
CL_389,SEQ_1416,A RA NA RE,1,4,HT 1,1
CL_390,SEQ_1417,A RE DA I,1,4,HT 29,1
CL_391,SEQ_1418,A RE TU MI[,1,4,ZA 7,1
CL_008,SEQ_1419,A RU DA RA,1,4,HT 28,1
CL_065,SEQ_142,SI PI KI,3,3,"ZA 15,ZA 4,ZA 5",3
CL_392,SEQ_1420,A SE TU QIF,1,4,PH 2,1
CL_393,SEQ_1421,A SI JA KA,1,4,HT 28,1
CL_024,SEQ_1422,A SI KI RA,1,4,KH 20,1
CL_394,SEQ_1423,A SU PU WA,1,4,ARKH 2,1
CL_002,SEQ_1424,A TA NA TE,1,4,ZA 10,1
CL_395,SEQ_1425,A TELA3 B E,1,4,HT WC 3019,1
CL_396,SEQ_1426,A TO TO I,1,4,KH 11,1
CL_397,SEQ_1427,A309A? [?] AB01 AB50,1,4,TY 2,1
CL_398,SEQ_1428,A309B AB53? AB65? [?],1,4,TY 2,1
CL_399,SEQ_1429,A309B [?] AB67 AB50,1,4,TY 2,1
CL_400,SEQ_143,AB28B AB55 AB80 AB27,3,4,"ZA 15A,ZA 4A,ZA 5B",3
CL_401,SEQ_1430,A309C AB53? AB77 AB26,1,4,TY 2,1
CL_135,SEQ_1431,A333 AB07 AB58 AB77,1,4,HT WC 3009A,1
CL_402,SEQ_1432,A364 AB44 AB80 AB09,1,4,ZA 15A,1
CL_403,SEQ_1433,A629 AB01 AB47 AB81,1,4,HT 127A,1
CL_404,SEQ_1434,AB01 AB24 AB81 AB37,1,4,HT 117A,1
CL_405,SEQ_1435,AB01 AB26 AB24 AB04,1,4,HT 98B,1
CL_406,SEQ_1436,AB01 AB51 AB80 AB59,1,4,HT 95A,1
CL_072,SEQ_1437,AB01 AB81 AB09 AB24,1,4,HT 103,1
CL_407,SEQ_1438,AB03 AB01 AB58 AB37,1,4,HT 104,1
CL_408,SEQ_1439,AB03 AB31 AB53 AB57,1,4,HT 24A,1
CL_016,SEQ_144,AB51 AB27 AB17 AB09,3,4,"ZA 10A,ZA 10B,ZA 20",3
CL_409,SEQ_1440,AB04 AB40 AB22 AB59,1,4,HT13,1
CL_410,SEQ_1441,AB04 AB69 AB22 AB67,1,4,ZA10,1
CL_411,SEQ_1442,AB06 AB37 AB80 AB07,1,4,HT 97A,1
CL_412,SEQ_1443,AB07 AB07 AB17 AB44,1,4,HT 1,1
CL_136,SEQ_1444,AB07 AB27 AB07 AB06,1,4,HT 98A,1
CL_136,SEQ_1445,AB07 AB60 AB07 AB06,1,4,PH 1A,1
CL_413,SEQ_1446,AB08 AB01 AB21F AB53,1,4,KH 92,1
CL_414,SEQ_1447,AB08 AB09 AB27 AB17,1,4,KH 13,1
CL_415,SEQ_1448,AB08 AB09 AB57 A718,1,4,HT 115A,1
CL_416,SEQ_1449,AB08 AB09 AB69 AB21F,1,4,PH 2,1
CL_417,SEQ_145,AB54 AB67 AB22 AB03,3,4,"HT13,HT31,HT95",3
CL_137,SEQ_1450,AB08 AB26 AB01 AB60,1,4,HT 28A,1
CL_137,SEQ_1451,AB08 AB26 AB60 [?],1,4,HT 11A,1
CL_418,SEQ_1452,AB08 AB26 AB81 AB02,1,4,HT 9A,1
CL_419,SEQ_1453,AB08 AB27 AB01 AB28,1,4,HT 29,1
CL_420,SEQ_1454,AB08 AB27 AB69 AB73,1,4,ZA 7A,1
CL_073,SEQ_1455,AB08 AB28 [?] [?],1,4,HT 115B,1
CL_421,SEQ_1456,AB08 AB29 AB06 AB51,1,4,HT 14,1
CL_422,SEQ_1457,AB08 AB31 AB01 AB77,1,4,MA WC 5A,1
CL_015,SEQ_1458,AB08 AB41 AB67 AB60,1,4,KH 20,1
CL_423,SEQ_1459,AB08 AB51 AB70 AB73,1,4,ZA WC 2,1
CL_424,SEQ_146,IB NU MA RE,3,4,"ZA 15,ZA 4,ZA 5",3
CL_073,SEQ_1460,AB08 AB51 [?] AB17,1,4,KH 11,1
CL_073,SEQ_1461,AB08 AB51 [?] [?],1,4,TY 3A,1
CL_425,SEQ_1462,AB08 AB58 AB50 AB54,1,4,ARKH 2,1
CL_426,SEQ_1463,AB08 AB58 AB73 AB118,1,4,ARKH 1A,1
CL_001,SEQ_1464,AB08 AB59 AB06 AB04,1,4,ZA 10A,1
CL_001,SEQ_1465,AB08 AB59 AB06 [?],1,4,ZA 9,1
CL_097,SEQ_1466,AB08 AB60 AB06 AB27,1,4,HT 1,1
CL_427,SEQ_1467,AB08 AB60 AB10 AB01,1,4,KH 5,1
CL_138,SEQ_1468,AB08 AB73 AB01 AB10,1,4,ZA 10A,1
CL_138,SEQ_1469,AB08 AB73 AB01 AB61,1,4,PH 31B,1
CL_139,SEQ_147,KI RE TA NA,3,4,"HT 108,HT 120,HT 8",3
CL_001,SEQ_1470,AB08 AB77 AB59 [?],1,4,KN 32A,1
CL_428,SEQ_1471,AB08 AB81 AB69 A361,1,4,TY 3A,1
CL_003,SEQ_1472,AB08 AB81 AB73 AB06,1,4,ZA 10A,1
CL_429,SEQ_1473,AB08 [?] [?] AB65,1,4,ARKH 4A,1
CL_430,SEQ_1474,AB10 AB07 AB53 AB67,1,4,PH 7A,1
CL_140,SEQ_1475,AB10 AB59 AB28 AB09,1,4,KH 7B,1
CL_140,SEQ_1476,AB10 AB59 AB28 AB41,1,4,KH 16,1
CL_431,SEQ_1477,AB16 AB118 AB60 AB27,1,4,HT 96B,1
CL_432,SEQ_1478,AB16 AB37 AB01 AB04,1,4,HT 12,1
CL_433,SEQ_1479,AB21F AB53 AB69 AB16,1,4,HT 23A,1
CL_434,SEQ_148,*408VAS,2,1,"KH WC 2103,KH WC 2122",2
CL_435,SEQ_1480,AB26 AB57 AB59 AB07,1,4,HT WC 3008B,1
CL_012,SEQ_1481,AB26 AB80 AB59 AB09,1,4,ZA 20,1
CL_436,SEQ_1482,AB27 AB17 AB22 AB40,1,4,ZA10,1
CL_437,SEQ_1483,AB28 AB03 AB31 AB57,1,4,KH 10,1
CL_438,SEQ_1484,AB28 AB37 AB30 AB31,1,4,ZA 15A,1
CL_439,SEQ_1485,AB28 AB51 AB24 AB41,1,4,HT 13,1
CL_440,SEQ_1486,AB28 AB57 AB03 AB13,1,4,KH 7A,1
CL_441,SEQ_1487,AB28 AB67 AB22 AB54,1,4,HT31,1
CL_442,SEQ_1488,AB28 AB73 AB31 AB60,1,4,HT 27A,1
CL_443,SEQ_1489,AB28 AB81 AB53 AB06,1,4,HT 90,1
CL_444,SEQ_149,*417VAS,2,1,"KH WC 2006,KH WC 2007",2
CL_042,SEQ_1490,AB31 AB73 AB01 AB38,1,4,ZA 5A,1
CL_445,SEQ_1491,AB34 AB65 AB04 AB73,1,4,ZA 6A,1
CL_446,SEQ_1492,AB39 AB26 AB38 AB65,1,4,PH 2,1
CL_447,SEQ_1493,AB39 AB59 AB44 AB41,1,4,HT 87,1
CL_448,SEQ_1494,AB39 AB59 AB77 AB09,1,4,HT 21,1
CL_449,SEQ_1495,AB40 AB31 AB31 AB24,1,4,KH 5,1
CL_450,SEQ_1496,AB41 AB69 AB76 AB27,1,4,HT 3,1
CL_451,SEQ_1497,AB47 AB55 AB60 AB56,1,4,HT 115A,1
CL_452,SEQ_1498,AB50 AB30 AB77 A363,1,4,ZA 14,1
CL_453,SEQ_1499,AB51 AB24 AB22 AB09,1,4,HT13,1
CL_454,SEQ_150,A411B,2,1,"KH WC 2008,KH WC 2009",2
CL_455,SEQ_1500,AB51 AB39 AB04 AB54,1,4,MA 10B,1
CL_456,SEQ_1501,AB51 AB45 AB22 AB59,1,4,HT31,1
CL_457,SEQ_1502,AB51 AB80 AB28 AB06,1,4,HT 123B,1
CL_012,SEQ_1503,AB53 AB26 AB80 AB37,1,4,PH 31B,1
CL_458,SEQ_1504,AB54 AB28 AB22 AB09,1,4,HT31,1
CL_459,SEQ_1505,AB54 AB57 AB39 [?],1,4,HT 9B,1
CL_460,SEQ_1506,AB54 AB69 AB80 AB27,1,4,HT 128A,1
CL_461,SEQ_1507,AB56 AB77 AB60 AB37,1,4,HT 8A,1
CL_462,SEQ_1508,AB57 AB26 AB80 AB24,1,4,PH 7A,1
CL_463,SEQ_1509,AB57 AB28 AB48 AB17,1,4,SY ZA 4,1
CL_464,SEQ_151,AB28?,2,1,"HT 79 83,KH 97B",2
CL_465,SEQ_1510,AB57 AB41 AB01 AB60,1,4,PH 7A,1
CL_466,SEQ_1511,AB57 AB51 AB60 AB37,1,4,KN 1B,1
CL_467,SEQ_1512,AB57 AB67 AB56 [?],1,4,PH 28A,1
CL_468,SEQ_1513,AB57 AB73 AB01 AB27,1,4,HT 122A,1
CL_469,SEQ_1514,AB57 AB80 AB10 AB37,1,4,MA 2C,1
CL_470,SEQ_1515,AB58 AB67 AB60 AB59,1,4,PH WA 32,1
CL_471,SEQ_1516,AB59 AB39 AB41 AB07,1,4,HT 4,1
CL_472,SEQ_1517,AB60 AB61 AB07 AB67,1,4,PH 2,1
CL_473,SEQ_1518,AB61 AB76 AB07 AB24,1,4,HT 6A,1
CL_474,SEQ_1519,AB67 AB67 AB60 AB57,1,4,HT 85B,1
CL_475,SEQ_152,AB39,2,1,"HT 126A,HT 47A",2
CL_476,SEQ_1520,AB69 AB02 AB07 AB01,1,4,HT 123B,1
CL_477,SEQ_1521,AB69 AB13 AB03 AB57,1,4,HT 154A,1
CL_478,SEQ_1522,AB69 AB21F AB53 AB06,1,4,HT 129,1
CL_479,SEQ_1523,AB70 AB08 AB51 AB54,1,4,TY 3A,1
CL_480,SEQ_1524,AB70 AB31 AB28 AB37,1,4,HT 117A,1
CL_481,SEQ_1525,AB73 AB67 AB09 AB06,1,4,HT 26A,1
CL_055,SEQ_1526,AB73 AB67 AB31 AB24,1,4,ARKH 1A,1
CL_482,SEQ_1527,AB77 AB06 AB30 AB37,1,4,KH WC 2005,1
CL_483,SEQ_1528,AB77 AB10 AB45 AB59,1,4,HT 13,1
CL_484,SEQ_1529,AB77 AB10 AB79 AB30,1,4,HT 26B,1
CL_485,SEQ_153,AB40,2,1,"KH 37,KN ZB 35",2
CL_486,SEQ_1530,AB77 AB51 AB80 AB24,1,4,HT 29,1
CL_487,SEQ_1531,AB77 AB53 A310 AB28,1,4,HT 98A,1
CL_488,SEQ_1532,AB77 AB81 AB24 AB04,1,4,ZA 10B,1
CL_489,SEQ_1533,AB78 AB37 AB60 AB51,1,4,HT 58,1
CL_141,SEQ_1534,AB80 AB37 AB37 A319,1,4,HT ZD 157,1
CL_490,SEQ_1535,AB80 AB59 AB53 AB59,1,4,KH 90,1
CL_491,SEQ_1536,AB80 AB67 AB45 AB04,1,4,ZA 10B,1
CL_142,SEQ_1537,AB80 AB77 AB28 AB09,1,4,ZA 8,1
CL_142,SEQ_1538,AB80 AB77 AB28 AB59,1,4,ZA 5B,1
CL_087,SEQ_1539,AB81 AB02 AB22 AB28,1,4,HT31,1
CL_492,SEQ_154,AB46,2,1,"KH 1,KH 50",2
CL_493,SEQ_1540,AB81 AB56 AB53 AB57,1,4,HT 24A,1
CL_494,SEQ_1541,AB81 AB69 AB70 AB27,1,4,ZA 8,1
CL_003,SEQ_1542,AB81 AB73 AB06 AB78,1,4,HT 54A,1
CL_495,SEQ_1543,AB81 AB81 AB01 AB60,1,4,HT 117A,1
CL_496,SEQ_1544,AB81 [?] AB70 AB38,1,4,KH 7A,1
CL_497,SEQ_1545,B RA PU3 RA,1,4,HT WC 3006,1
CL_498,SEQ_1546,DA DU MA TA,1,4,HT 95,1
CL_074,SEQ_1547,DA KU SE NE,1,4,HT 103,1
CL_074,SEQ_1548,DA KU SE NE[,1,4,HT 103,1
CL_499,SEQ_1549,DA NE KU TI,1,4,HT 117,1
CL_500,SEQ_155,AB50,2,1,"HT 23B,MI 2",2
CL_501,SEQ_1550,DA RU NE TE,1,4,HT 98,1
CL_502,SEQ_1551,DI DI ZA KE,1,4,HT 1,1
CL_503,SEQ_1552,DI RE DI NA,1,4,HT 98,1
CL_504,SEQ_1553,DU MA I NA,1,4,HT 123 124,1
CL_505,SEQ_1554,DU PI TE WA,1,4,MA 10,1
CL_009,SEQ_1555,DU RE ZA SE,1,4,ZA 10,1
CL_506,SEQ_1556,FIC KI KI NA,1,4,HT 88,1
CL_507,SEQ_1557,GRA PA3 RE SE,1,4,HT 93,1
CL_508,SEQ_1558,I DU NE SI,1,4,HT 13,1
CL_509,SEQ_1559,I KU RI NA,1,4,HT 90,1
CL_510,SEQ_156,AB56,2,1,"ARKH 1B,HT 101",2
CL_511,SEQ_1560,I TI NI SA,1,4,ZA 15,1
CL_512,SEQ_1561,IMPRESSION DISC NO PAPYRUS,1,4,KN WC 26,1
CL_513,SEQ_1562,IMPRESSION MOTIF NOT PRESERVED,1,4,KN WC 42,1
CL_514,SEQ_1563,JA DU RA TI,1,4,KN 1,1
CL_515,SEQ_1564,JA MI DA RE,1,4,HT 122,1
CL_516,SEQ_1565,KA DU MA NE,1,4,HT 29,1
CL_517,SEQ_1566,KA KU NE TE,1,4,ZA 10,1
