cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_014,SEQ_080,SA RO,4,2,"HT 17,HT 19,HT 42 59,HT 9",4
CL_008,SEQ_081,SA RU,4,2,"HT 123 124,HT 86,HT 94,HT 95",4
CL_086,SEQ_082,VIR KA,4,2,"HT 88,KH WC 2029 2030,KH WC 2031,KH WC 2032",4
CL_014,SEQ_083,]KU RO,4,2,"HT 39,HT 46,HT 67,HT 74",4
CL_204,SEQ_084,]OLE KI,4,2,"HT 125,HT 129,HT 44,HT 56",4
CL_046,SEQ_085,AB01 AB41 AB118,4,3,"HT 122A,HT 13,HT 85A,HT 99B",4
CL_205,SEQ_086,AB01 AB53 AB01,4,3,"HT 10A,HT 122A,HT 85A,HT 93A",4
CL_005,SEQ_087,AB03 AB57 AB27,4,3,"HT 29,HT 88,HT 8B,ZA 10B",4
CL_020,SEQ_088,AB07 AB06 AB10,4,3,"HT 16,HT 25A,HT 9A,HT 9B",4
CL_206,SEQ_089,AB16 A310 AB28,4,3,"HT 122A,HT 85B,HT 8A,HT 8B",4
CL_001,SEQ_090,AB59 AB06 AB37,4,3,"HT 10B,HT 49A,HT 7A,HT 98A",4
CL_003,SEQ_091,AB81 AB30 AB58,4,3,"HT 10A,HT 86A,HT 86B,HT 95B",4
CL_207,SEQ_092,DA RI DA,4,3,"HT 10,HT 122,HT 85,HT 93",4
CL_047,SEQ_093,PA JA RE,4,3,"HT 29,HT 8,HT 88,ZA 10",4
CL_208,SEQ_094,QA QA RU,4,3,"HT 111,HT 118,HT 122,HT 93",4
CL_002,SEQ_095,TA NA TI,4,3,"HT 10,HT 49,HT 7,HT 98",4
CL_209,SEQ_096,AB67 AB27 AB59 AB06,4,4,"HT 108,HT 120,HT 2,HT 8A",4
CL_087,SEQ_097,AB81 AB02 AB22 AB67,4,4,"HT13,HT31,HT95,ZA10",4
CL_210,SEQ_098,*164A,3,1,"KH WC 2042,KH WC 2043,KH WC 2044 2096",3
CL_211,SEQ_099,*409VAS,3,1,"KH WC 2010,KH WC 2020,KH WC 2021",3
CL_048,SEQ_100,AB04,3,1,"HT 55B,ZA 21A,ZA 29",3
CL_001,SEQ_1000,AB28 AB26 AB57,1,3,HT 7A,1
CL_049,SEQ_1001,AB28 AB51 AB37,1,3,HT 104,1
CL_049,SEQ_1002,AB28 AB51 AB40,1,3,MA 1A,1
CL_001,SEQ_1003,AB28 AB59 AB57,1,3,HT 28A,1
CL_015,SEQ_1004,AB28 AB67 AB60,1,3,HT 25A,1
CL_031,SEQ_1005,AB28 AB81 AB39,1,3,KH 18,1
CL_031,SEQ_1006,AB28 AB81 AB59,1,3,HT 35,1
CL_088,SEQ_1007,AB28B AB37 [?],1,3,HT 62 73,1
CL_212,SEQ_1008,AB30 AB57 AB55,1,3,KN ZC 6,1
CL_050,SEQ_1009,AB31 A301 AB53,1,3,ZA 11B,1
CL_213,SEQ_101,AB09,3,1,"KH 28,KH 95,KH 97B",3
CL_214,SEQ_1010,AB31 A323 AB73,1,3,HT 29,1
CL_004,SEQ_1011,AB31 AB02 AB78,1,3,HT 62 73,1
CL_004,SEQ_1012,AB31 AB27 AB65,1,3,HT 20,1
CL_215,SEQ_1013,AB31 AB31 AB13,1,3,HT 23A,1
CL_004,SEQ_1014,AB31 AB57 AB80,1,3,HT 31,1
CL_089,SEQ_1015,AB31 AB60 AB07,1,3,HT 27A,1
CL_089,SEQ_1016,AB31 AB60 AB60,1,3,HT 30,1
CL_050,SEQ_1017,AB31 AB78 AB53,1,3,HT 11B,1
CL_004,SEQ_1018,AB31 AB80 AB02,1,3,HT 88,1
CL_004,SEQ_1019,AB31 AB80 AB37,1,3,HT 39,1
CL_216,SEQ_102,AB37,3,1,"HT 154,MA 1C,MA 2B",3
CL_001,SEQ_1020,AB34 AB37 AB53,1,3,KN ZC 6,1
CL_006,SEQ_1021,AB37 AB01 AB59,1,3,HT 123B,1
CL_006,SEQ_1022,AB37 AB30 AB59,1,3,HT 27A,1
CL_217,SEQ_1023,AB37 AB37 AB81,1,3,HT 35,1
CL_006,SEQ_1024,AB37 AB51 AB30,1,3,HT 49A,1
CL_218,SEQ_1025,AB37 AB55 AB57,1,3,HT 115B,1
CL_219,SEQ_1026,AB38 AB05 AB53,1,3,ZA 11B,1
CL_039,SEQ_1027,AB38 AB06 AB41,1,3,KH 7A,1
CL_001,SEQ_1028,AB38 AB73 [?],1,3,ZA 1B,1
CL_220,SEQ_1029,AB38 AB81 AB26,1,3,ZA 11A,1
CL_221,SEQ_103,AB51,3,1,"HT 122A,HT 123B,HT 47A",3
CL_222,SEQ_1030,AB39 A310 AB08,1,3,ZA 11A,1
CL_223,SEQ_1031,AB39 AB34 AB04,1,3,HT 116A,1
CL_001,SEQ_1032,AB39 AB59 AB57,1,3,HT 6A,1
CL_001,SEQ_1033,AB39 AB59 AB60,1,3,HT 96A,1
CL_224,SEQ_1034,AB39 AB81 AB79,1,3,TY 3B,1
CL_225,SEQ_1035,AB39 [?] AB09,1,3,ZA 4A,1
CL_226,SEQ_1036,AB40 AB04 AB02,1,3,HT 25B,1
CL_227,SEQ_1037,AB40 AB06 AB51,1,3,KH 5,1
CL_020,SEQ_1038,AB40 AB07 AB06,1,3,HT 28B,1
CL_001,SEQ_1039,AB40 AB57 AB58,1,3,HT ZD 157,1
CL_228,SEQ_104,AB79,3,1,"HT 63,HT 79 83,KH 91",3
CL_001,SEQ_1040,AB41 AB01 AB04,1,3,ARKH 2,1
CL_001,SEQ_1041,AB41 AB04 AB69,1,3,ZA 20,1
CL_001,SEQ_1042,AB41 AB06 [?],1,3,KH 40,1
CL_229,SEQ_1043,AB41 AB07 AB57,1,3,HT 126A,1
CL_090,SEQ_1044,AB41 AB28 AB41,1,3,KH 51,1
CL_015,SEQ_1045,AB41 AB67 AB24,1,3,HT 116A,1
CL_015,SEQ_1046,AB41 AB67 AB60,1,3,HT 8A,1
CL_040,SEQ_1047,AB41 AB73 AB59,1,3,HT 96A,1
CL_091,SEQ_1048,AB41 [?] AB67,1,3,ZA 15A,1
CL_230,SEQ_1049,AB44 AB67 AB26,1,3,HT 94B,1
CL_231,SEQ_105,FIC[,3,1,"HT 44,KH 17,KH 91",3
CL_232,SEQ_1050,AB45 AB65 AB81,1,3,HT 93A,1
CL_233,SEQ_1051,AB46 AB59 AB06,1,3,HT WA 1020,1
CL_092,SEQ_1052,AB47 AB81 AB06,1,3,ZA 15A,1
CL_234,SEQ_1053,AB51 AB01 AB80,1,3,HT 6B,1
CL_235,SEQ_1054,AB51 AB123 AB08,1,3,HT 15,1
CL_236,SEQ_1055,AB51 AB13 AB07,1,3,HT 19,1
CL_237,SEQ_1056,AB51 AB24 AB73,1,3,HT 127A,1
CL_238,SEQ_1057,AB51 AB26 AB40,1,3,HT 25A,1
CL_016,SEQ_1058,AB51 AB27 AB17,1,3,KH 20,1
CL_051,SEQ_1059,AB51 AB29 AB27,1,3,HT ZB 160,1
