prefix,length,count,artifact_count,artifacts
PA,1,35,29,"ARKH 1,HT 104,HT 115,HT 120,HT 122,HT 127,HT 128,HT 18,HT 20,HT 24,HT 29,HT 4,HT 62 73,HT 8,HT 88,HT 9,HT 93,HT 94,HT 97,KH 7,KH 79 89,PH 3,PH 31,TY 2,TY 3,ZA 10,ZA 12,ZA 14,ZA 6"
QA,1,35,26,"HT 111,HT 116,HT 118,HT 12,HT 122,HT 132,HT 23,HT 30,HT 32,HT 33,HT 34,HT 35,HT 45,HT 60,HT 8,HT 85,HT 86,HT 93,HT 96,HT12,HT8,KH 7,KH 88,PE 2,PH 31,ZA 14"
AB59,1,33,30,"ARKH 1A,ARKH 4A,HT 104,HT 109,HT 10B,HT 26A,HT 39,HT 4,HT 42 59,HT 49A,HT 49B,HT 66,HT 7A,HT 89,HT 97A,HT 98A,HT 9A,HT 9B,HT WC 3005A,HT ZD 156,KH 16,KH 52,KH 64,KH 7A,PH 7B,PS ZA 2,ZA 10A,ZA 21A,ZA 24B,ZA 8"
KA,1,33,31,"ARKH 3,HT 10,HT 102,HT 105,HT 11,HT 115,HT 123 124,HT 13,HT 140,HT 16,HT 23,HT 26,HT 29,HT 37,HT 38,HT 6,HT 62 73,HT 63,HT 75,HT 8,HT 88,HT 94,HT 97,HT 98,KE 1,KH 41,PK 1,ZA 10,ZA 15,ZA 4,ZA 8"
MA,1,31,23,"HT 102,HT 117,HT 118,HT 12,HT 128,HT 24,HT 3,HT 43,HT 5,HT 55,HT 6,HT 85,HT 89,HT 97,HT12,KH 43,KH 90,PH 3,PH 31,PK 1,ZA 10,ZA 5,ZA 8"
AB57,1,30,27,"ARKH 1B,HT 119,HT 122A,HT 28A,HT 28B,HT 87,KE ZB 4,KH 74,KN 1A,KN 1B,KN WC 30,KN ZB 35,KN ZB 4,KN ZC 7,MA 2B,MA 2C,PH 14A,PH 1A,PH 28A,PH 7A,PH WC 39A,PS ZA 2,SY ZA 4,ZA 14,ZA 15A,ZA 26A,ZA 4A"
AB07,1,29,29,"HT 1,HT 102,HT 108,HT 117B,HT 122A,HT 128A,HT 16,HT 25A,HT 29,HT 3,HT 52A,HT 66,HT 86A,HT 86B,HT 87,HT 93A,HT 95A,HT 95B,HT 98A,HT 9A,HT 9B,KH 59,KH 6,KN ZB 35,PH 1A,PH 7A,ZA 11A,ZA 26A,ZA 27"
AB80,1,29,26,"HT 102,HT 117A,HT 118,HT 128A,HT 3,HT 43,HT 5,HT 55A,HT 69,HT 6A,HT 85B,HT 87,HT 89,HT ZD 157,KH 61,KH 62,KH 90,KN 22C,PH 15A,PH 30,PH 31A,ZA 10B,ZA 21A,ZA 29,ZA 5B,ZA 8"
SI,1,29,27,"ARKH 2,GO 2,HT 110,HT 116,HT 122,HT 126,HT 140,HT 17,HT 23,HT 24,HT 42 59,HT 49,HT 55,HT 8,HT 90,HT 96,HT 99,KH 51,KH 74,KH 9,PH 31,PK 1,ZA 15,ZA 20,ZA 26,ZA 4,ZA 5"
AB10,1,27,24,"ARKH 4B,HT 103,HT 10A,HT 10B,HT 116A,HT 117A,HT 122A,HT 126A,HT 140,HT 15,HT 25A,HT 26A,HT 28B,HT 47A,HT 56A,HT 58,HT 85A,KH 16,KH 7B,KN ZB 40,MA 2C,PH 7A,ZA 10B,ZA 7A"
