prefix,length,count,artifact_count,artifacts
AB79 AB07,2,2,2,"HT WC 3011,HT WC 3012A"
AB79 AB51,2,2,2,"HT 51B,HT 99B"
AB80 AB27,2,2,2,"HT 55A,PH 30"
AB80 AB41,2,2,2,"HT 43,HT 5"
AB81 AB26,2,2,2,"HT 115B,HT 87"
AB81 AB73,2,2,2,"HT 54A,HT WC 3014A"
AB81 AB80,2,2,2,"HT 20,HT 96A"
B PA,2,2,2,"HT WC 3016,HT WE WC 3020"
B SE,2,2,2,"HT WC 3004,HT WC 3005"
DA NE,2,2,2,"HT 117,HT10"
DA RU,2,2,2,"HT 7,HT 98"
DA TA,2,2,2,"HT 6,HT 88"
DI DE,2,2,2,"HT 86,HT 95"
DI DI,2,2,2,"HT 1,ZA 11"
DI KI,2,2,2,"HT 117,HT 87"
DI RA,2,2,2,"HT 122,HT 9"
DI RI,2,2,2,"HT 102,HT 93"
DU RE,2,2,2,"KH 20,ZA 10"
DU RI,2,2,2,"HT 4,PH 31"
E KA,2,2,2,"HT 33,HT 34"
GRA B,2,2,2,"HT 120,HT 86"
GRA F,2,2,2,"HT 125,KH 1"
GRA K,2,2,2,"HT 120,HT 86"
GRA KU,2,2,2,"HT 128,HT 61"
I DA,2,2,2,"PH 6,ZA 24"
I DU,2,2,2,"HT 104,HT 13"
I KA,2,2,2,"HT 102,HT 91"
I QA,2,2,2,"HT 131,HT 44"
I TI,2,2,2,"HT 96,ZA 15"
JA KU,2,2,2,"KN 1,MA 2"
JA MI,2,2,2,"HT 122,PH 31"
KA DI,2,2,2,"ZA 15,ZA 4"
KA NA,2,2,2,"HT 123 124,HT 23"
KA SA,2,2,2,"HT 10,KE 1"
KA U,2,2,2,"HT 13,HT 26"
KI ME,2,2,2,"HT 127,HT 26"
KU RE,2,2,2,"HT 117,HT 39"
KU RU,2,2,2,"HT 115,HT 87"
KU ZU,2,2,2,"HT 13,HT 85"
MA RI,2,2,2,"HT 128,HT 6"
MA SI,2,2,2,"HT 43,HT 5"
ME ZA,2,2,2,"HT 10,HT 85"
MI TU,2,2,2,"HT 117,HT 135"
NA QIF,2,2,2,"HT 115,HT 135"
OLE MI[,2,2,2,"HT 58,TY 3"
OLE RI,2,2,2,"HT 23,HT 35"
OLIV TU,2,2,2,"HT 101,HT 50"
OVISM SI,2,2,1,PH 31
PA DE,2,2,2,"HT 122,HT 9"
PA SE,2,2,2,"HT 18,HT 93"
PA [?],2,2,2,"ZA 10,ZA 12"
PO TO,2,2,2,"HT 122,HT 131"
PU RA2,2,2,2,"HT 116,HT 28"
PU VINA,2,2,2,"HT 123 124,HT 14"
QA NU,2,2,2,"HT 116,KH 88"
QE SI,2,2,2,"ZA 15,ZA 4"
QE TI,2,2,2,"HT 58,HT 7"
RA *164A,2,2,2,"HT 17,HT 19"
RI TA,2,2,2,"HT 115,KH 6"
SA RI,2,2,2,"ZA 11,ZA 21"
SA VINA,2,2,2,"HT 114,ZA 15"
SI KI,2,2,2,"HT 116,HT 8"
SI ME,2,2,2,"HT 23,HT 24"
SI RU,2,2,2,"HT 55,HT 90"
SI TE,2,2,2,"ZA 20,ZA 26"
TA TI,2,2,2,"HT 26,HT 97"
TE FIC,2,2,2,"HT 6,HT 96"
TE KI,2,2,2,"HT 122,HT 13"
TE TU,2,2,2,"HT 13,HT 7"
TI A,2,2,2,"HT 100,HT 94"
TU JU,2,2,2,"HT 117,PH 31"
TU ME,2,2,2,"HT 154A,ZA 4"
TU RU,2,2,2,"HT 128,HT7"
TU SU,2,2,2,"HT 49,PK 1"
U TA,2,2,2,"HT 116,KH 7"
U ZA,2,2,2,"HT 10,HT 85"
VINA RA,2,2,2,"ZA 15,ZA 6"
VIR *313A,2,2,2,"HT 100,HT 89"
VIR *313B,2,2,2,"HT 94,KH 7"
VIR I,2,2,2,"HT 11,HT 93"
WA DU,2,2,2,"HT 6,HT 85"
ZU DU,2,2,2,"HT 51,HT 99"
[?] AB03,2,2,2,"KH 79,KH 79 89"
[?] AB04,2,2,2,"KN 28B,KN 32B"
[?] AB06,2,2,2,"HT 62 73,PH 1B"
[?] AB31,2,2,2,"HT 62 73,KN 32B"
[?] AB37,2,2,2,"HT 31,PH 30"
[?] AB40,2,2,2,"HT 5,PH 18A"
[?] AB41,2,2,2,"KH 74,ZA 16"
[?] AB58,2,2,2,"KH 24,ZA 13"
[?] AB59,2,2,2,"KH 50,KH 8"
[?] AB60,2,2,2,"KH 29,ZA 9"
[?] AB76,2,2,2,"HT 108,HT 49A"
]OLE RI,2,2,2,"HT 60,KH 82"
]SA RA,2,2,2,"HT 27,HT 62 73"
]TA PI,2,2,2,"ARKH 1,HT 4"
]TU PA,2,2,2,"HT 112,HT 79 83"
*309B,1,2,1,TY 2
*309C,1,2,1,TY 2
*406VAS,1,2,2,"HT 26,HT 93"
*408VAS,1,2,2,"KH WC 2103,KH WC 2122"
*412VAS,1,2,1,MA 10
*417VAS,1,2,2,"KH WC 2006,KH WC 2007"
A301,1,2,2,"HT WA 1029,KH 5"
A305,1,2,2,"HT 10A,ZA 6A"
A309A,1,2,1,TY 2
A309C,1,2,1,TY 2
A320,1,2,2,"PH 16A,PH WC 40A"
A333,1,2,2,"HT WC 3009A,HT WC 3010"
A411B,1,2,2,"KH WC 2008,KH WC 2009"
A629,1,2,2,"HT 127A,HT WA 1020"
AB17,1,2,2,"TY 3A,ZA 9"
AB17?,1,2,2,"ARKH 4B,KH 94"
AB28?,1,2,2,"HT 79 83,KH 97B"
AB34,1,2,2,"KN ZC 6,ZA 6A"
AB47,1,2,2,"HT 115A,ZA 15A"
AB51?,1,2,2,"HT 6B,ZA 31"
AB57?,1,2,2,"HT 44B,ZA 32"
AB66,1,2,2,"HT 137,KH 29"
AB76,1,2,2,"HT 130,ZA 10B"
CA,1,2,1,HT 89
IMPRESSION,1,2,2,"KN WC 26,KN WC 42"
JU,1,2,2,"HT 89,ZA 6"
NI,1,2,2,"HT 23,PK 1"
OVISF[,1,2,2,"HT 112,HT 126"
TO,1,2,1,PE 2
VAS,1,2,2,"KH 83,PH 9"
]DA,1,2,2,"KH 13,PH 7"
]FIC[,1,2,2,"KH 27,KH 65"
]GRA,1,2,2,"KH 27,KH 8"
]GRA[,1,2,2,"HT 154A,HT 50"
]KA,1,2,2,"HT 139,KH 36"
]OVISF,1,2,2,"HT 136,ZA 26"
]PI,1,2,2,"ARKH 3,ZA 21"
]QE,1,2,2,"HT 111,HT 41"
]RE,1,2,2,"HT 37,KH 97"
]RI,1,2,2,"HT 55,HT 81"
]SI,1,2,2,"HT 123 124,HT 3"
]TE,1,2,2,"PH 13,ZA 23"
]VINA,1,2,2,"ARKH 3,HT 98"
]WI,1,2,2,"HT 113,PH 18"
