observation_id,artifact_id,line_id,token_index,original_sign,reason,details
OBS_001787,HT 96,b.1-2_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001788,HT 96,b.1_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001897,HT WC 3006,a: WA-O-MI_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001897,HT WC 3006,a: WA-O-MI_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_001987,KH 20,.2_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_002005,KH 29,.1_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_002012,KH 31,.3_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002036,KH 5,.1-2_stmt,6,RA,suppressed_uncertain_mapping,strict_mode
OBS_002115,KH 79 89,.2_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_002166,KH 91,.4_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002250,KN 1,b.1-3_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_002329,MA 2,a.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002348,MI 2,.3_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002369,PH 1,a.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002396,PH 2,.1-2_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_002419,PH 3,a.3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002503,PH 7,a.4_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_002504,PH 7,b.2_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002531,PK 1,.6_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_002537,PS ZA 2,.2 (beginning on the bottom of fragment a and continuing onto b+c):_stmt,4,?,suppressed_uncertain_mapping,strict_mode
OBS_002537,PS ZA 2,.2 (beginning on the bottom of fragment a and continuing onto b+c):_stmt,10,RA,suppressed_uncertain_mapping,strict_mode
OBS_002651,ZA 11,a.1_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_002653,ZA 11,a.2-3_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_002711,ZA 15,b.3_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002740,ZA 20,.4_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002843,ZA 6,b.2_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002856,ZA 7,a.1-2_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002868,ZA 8,.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_002891,ZA 9,.6_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
