suffix,length,count,artifact_count,artifacts
SE,1,26,22,"HT 116,HT 117,HT 132,HT 18,HT 21,HT 6,HT 81,HT 85,HT 87,HT 93,HT WC 3004,HT WC 3005,KH 7,THE TABLET 6,ZA 10,ZA 14,ZA 15,ZA 20,ZA 4,ZA 5,ZA 6,ZA 8"
SI,1,26,24,"HT 117,HT 119,HT 122,HT 126,HT 13,HT 140,HT 15,HT 28,HT 5,HT 85,HT 87,HT 9,HT 99,HT10,HT7,KH 16,KH 51,KH 6,KH 7,KH 9,KH 99,TY 3,ZA 11,ZA 9"
KU RO,2,25,24,"HT 100,HT 102,HT 104,HT 109,HT 11,HT 110,HT 116,HT 117,HT 118,HT 119,HT 122,HT 123 124,HT 127,HT 13,HT 131,HT 25,HT 27,HT 40,HT 88,HT 89,HT 9,HT 94,PH 31,ZA 15"
AB51,1,25,24,"HT 122A,HT 123B,HT 133,HT 14,HT 42 59,HT 43,HT 47A,HT 49A,HT 5,HT 51B,HT 58,HT 84,HT 85A,HT 86A,HT 88,HT 92,HT 95B,HT 99A,HT 99B,HT WA 1021,HT WC 3020A,KH 21,KH 23,KH 5"
NE,1,24,21,"ARKH 3,HT 100,HT 103,HT 115,HT 116,HT 117,HT 12,HT 122,HT 23,HT 29,HT 32,HT 6,HT 7,HT 94,HT 96,HT10,HT12,KH 5,KH 6,PH 31,TY 3"
TU,1,24,22,"ARKH 6,HT 101,HT 115,HT 117,HT 119,HT 123 124,HT 13,HT 135,HT 23,HT 28,HT 41,HT 42 59,HT 47,HT 50,HT 7,HT 87,HT12,HT7,KH 7,TY 3,ZA 20,ZA 7"
JA,1,23,19,"HT 11,HT 115,HT 116,HT 119,HT 126,HT 154A,HT 24,HT 28,HT 41,HT 55,HT 6,HT 7,HT 85,HT 93,KH 14,KH 97,KH WC 2100,PH 3,PK 1"
AB73,1,22,22,"ARKH 2,ARKH 4B,HT 110A,HT 117A,HT 127A,HT 135A,HT 154C,HT 29,HT 47A,HT 66,HT 6B,HT 85B,HT 87,HT 89,HT WC 3006A,PH 14B,TY 3B,ZA 21A,ZA 27,ZA 6A,ZA 7A,ZA WC 2"
AB28,1,21,20,"ARKH 2,HT 11A,HT 12,HT 122A,HT 123A,HT 29,HT 43,HT 49B,HT 55B,HT 85B,HT 8A,HT 8B,HT 93A,HT 98A,HT31,KH 11,KH 13,KH 59,KH 7A,ZA 6A"
U,1,21,19,"HT 100,HT 101,HT 120,HT 125,HT 140,HT 16,HT 2,HT 21,HT 25,HT 28,HT 44,HT 58,HT 9,HT 91,HT 95,HT 96,KH 52,TY 3,ZA 10"
AB81,1,20,19,"ARKH 3A,ARKH 6,HT 101,HT 127A,HT 139,HT 35,HT 39,HT 40,HT 42 59,HT 45B,HT 49B,HT 62 73,HT 87,HT 93A,KH 49,KN ZC 6,KN ZF 13,MA 2B,ZA 18A"
SA RA2,2,19,19,"HT 100,HT 101,HT 102,HT 105,HT 114,HT 121,HT 130,HT 18,HT 28,HT 30,HT 32,HT 33,HT 34,HT 89,HT 90,HT 93,HT 94,HT 97,HT 99"
AB30,1,19,17,"HT 102,HT 108,HT 13,HT 140,HT 25A,HT 26B,HT 41A,HT 49A,HT 51A,HT 79 83,HT 85A,HT 93A,HT 96A,HT WC 3007,HT WC 3008A,KH 65,KH 79 89"
AB53,1,19,16,"ARKH 6,HT 11A,HT 11B,HT 122A,HT 128A,HT 141,HT 49A,HT 79 83,HT 91,KH 92,KN ZC 6,PH 30,PH 31B,PH 6,ZA 11B,ZA 21B"
I,1,19,18,"ARKH 2,HT 11,HT 12,HT 122,HT 123 124,HT 29,HT 37,HT 39,HT 43,HT 6,HT 8,HT 85,HT 9,HT 93,HT 98,HT12,KH 11,KH 81"
RI,1,19,16,"HT 11,HT 110,HT 128,HT 141,HT 23,HT 35,HT 60,HT 79 83,HT 91,KH 82,KH 92,PE 1,PH 31,PH 6,ZA 11,ZA 21"
AB31 AB76,2,18,18,"HT 100,HT 101,HT 102,HT 114A,HT 121,HT 130,HT 18,HT 28B,HT 30,HT 32,HT 33,HT 34,HT 89,HT 90,HT 93A,HT 94A,HT 97B,HT 99A"
AB17,1,18,17,"HT 10A,HT 122A,HT 122B,HT 13,HT 85A,HT 85B,HT 88,HT 95B,KH 11,KH 13,KH 20,KH 22,KH 86,SY ZA 4,ZA 10B,ZA 1A,ZA 6B"
KA,1,18,16,"HT 100,HT 102,HT 111,HT 24,HT 28,HT 33,HT 34,HT 85,HT 88,HT 91,KH 99,KH WC 2029 2030,KH WC 2031,KH WC 2032,TY 2,ZA 6"
AB65,1,17,16,"ARKH 4A,HT 108,HT 109,HT 117B,HT 119,HT 20,HT 39,HT 68,HT 88,HT ZD 155,KN ZB 4,PH 2,ZA 14,ZA 22,ZA 7A,ZA 9"
AB01,1,16,15,"HT 10A,HT 122A,HT 123B,HT 27A,HT 27B,HT 3,HT 85A,HT 93A,HT ZB 160,KH 5,KH 79,PH 31A,TY 3A,ZA 21B,ZA 24A"
