suffix,length,count,artifact_count,artifacts
[?] PU,2,7,7,"HT 12,HT 23,HT 30,HT 32,HT 34,HT 35,HT 60"
AB38,1,7,6,"KE ZB 4,KH 7A,PH 24,ZA 15A,ZA 4A,ZA 5A"
AB54,1,7,7,"ARKH 2,HT 36,HT 86A,HT31,MA 10B,PH 6,TY 3A"
F,1,7,7,"HT 125,HT 44,HT 82,KH 1,KH 28,MA 10,NOTES TO HT ZD 155 157"
MI[,1,7,6,"HT 58,HT 66,TY 3,ZA 27,ZA 6,ZA 7"
PI,1,7,7,"ARKH 1,ARKH 3,HT 9,KN WC 26,TY 2,ZA 14,ZA 21"
AB01 AB77,2,6,6,"HT WA 1001,HT WA 1002,HT WA 1003,HT WA 1004,HT WA 1005,MA WC 5A"
AB17 AB09,2,6,6,"ZA 10A,ZA 10B,ZA 14,ZA 15A,ZA 20,ZA 5A"
AB27 AB17,2,6,6,"HT 13,HT 88,KH 13,KH 20,KH 86,ZA 1A"
AB41 AB77,2,6,6,"HT WA 1014,HT WA 1015,HT WA 1016,HT WA 1017,HT WA 1018,KH 5"
AB59 AB06,2,6,6,"ARKH 5,HT 108,HT 120,HT 2,HT 8A,HT WA 1020"
AB73 AB06,2,6,5,"HT 115A,HT 135A,HT WC 3014A,KH 79 89,ZA 10A"
AB77 AB26,2,6,6,"HT 2,HT 75,HT 86A,HT 86B,HT 97A,TY 2"
AB80 AB07,2,6,6,"HT 118,HT 3,HT 69,HT 85B,HT 97A,PH 31A"
KI RA,2,6,6,"HT 103,HT 25,HT 8,HT7,KH 20,ZA 8"
MA DI,2,6,5,"HT 118,HT 3,HT 85,HT 97,PH 31"
OLE TA,2,6,6,"HT 30,HT 35,KH 19,KH 55,KH 61,KH 85"
TA NA,2,6,6,"ARKH 5,HT 108,HT 120,HT 2,HT 8,ZA 9"
VIN TE,2,6,1,HT9
*164D,1,6,6,"KH WC 2036,KH WC 2037,KH WC 2038,KH WC 2039,KH WC 2045,KH WC 2111"
AB86,1,6,6,"HT 11B,HT 26B,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016"
BOSM,1,6,6,"GO WC 1,HT 114,HT 121,HT 30,KH 87,KH WC 2069"
DE,1,6,6,"HT 122,HT 9,KH 88,KH 99,PH 30,ZA 10"
KE,1,6,6,"HT 1,HT 26,HT 85,HT 98,PS ZA 2,ZA 21"
NE[,1,6,6,"ARKH 1,HT 103,HT 135,HT 32,KH 83,PH 7"
OLE,1,6,6,"ARKH 3,HT 101,HT 114,HT 121,HT 139,HT 60"
OVISF,1,6,6,"HT 132,HT WC 3024,PH 31,TY 3,ZA 22,ZA 9"
RE[,1,6,6,"HT 4,HT 47,KH 4,KH 41,KH 6,ZA 23"
WA,1,6,6,"ARKH 2,HT 36,HT 86,MA 10,PH 6,TY 3"
QA [?] RE,3,5,5,"HT 23,HT 32,HT 33,HT 34,HT 60"
A310 AB28,2,5,5,"HT 122A,HT 85B,HT 8A,HT 8B,HT 98A"
AB06 AB41,2,5,5,"HT 117A,HT 126A,HT 28B,KH 60,KH 7A"
AB06 [?],2,5,5,"HT 126A,KH 40,KN 22C,PH 16A,ZA 9"
AB07 AB06,2,5,5,"HT 28B,HT 3,HT 98A,KH 59,PH 1A"
AB07 AB60,2,5,5,"HT 122A,HT 9A,HT 9B,HT WC 3011,HT WC 3012A"
AB22 AB67,2,5,4,"HT13,HT31,HT95,ZA10"
AB30 AB59,2,5,5,"ARKH 4A,HT 25A,HT 27A,PH 6,ZA 8"
AB41 AB118,2,5,5,"HT 122A,HT 13,HT 85A,HT 99B,KH 99"
AB53 AB06,2,5,5,"HT 102,HT 10B,HT 129,HT 90,HT 93A"
AB57 AB27,2,5,5,"ARKH 1B,HT 29,HT 88,HT 8B,ZA 10B"
AB67 AB60,2,5,5,"HT 103,HT 25A,HT 8A,KH 20,ZA 8"
AB77 AB03,2,5,5,"HT 102,HT 140,HT 6A,HT 8B,HT 94A"
AB80 AB27,2,5,5,"HT 128A,HT 55A,ZA 15A,ZA 4A,ZA 5B"
JA RE,2,5,5,"HT 117,HT 29,HT 8,HT 88,ZA 10"
KA PA,2,5,5,"HT 102,HT 140,HT 6,HT 8,HT 94"
MA RE,2,5,5,"HT 128,HT 55,ZA 15,ZA 4,ZA 5"
MA RU,2,5,5,"HT 117,HT 12,HT 24,HT12,PH 3"
NA TI,2,5,5,"HT 10,HT 49,HT 7,HT 97,HT 98"
NA TU,2,5,5,"ARKH 6,HT 119,HT 47,HT7,KH 7"
RE ZA,2,5,5,"HT 13,HT 88,KH 20,KH 86,ZA 1"
RI NA,2,5,5,"HT 10,HT 102,HT 129,HT 90,HT 93"
SA RU,2,5,5,"HT 10,HT 123 124,HT 86,HT 94,HT 95"
ZA SE,2,5,5,"ZA 10,ZA 14,ZA 15,ZA 20,ZA 5"
[?] RE,2,5,5,"HT 23,HT 32,HT 33,HT 34,HT 60"
AB123,1,5,5,"HT 39,HT 9A,HT 9B,KH 53,ZA 20"
AB44,1,5,5,"HT 1,HT 85A,HT 98A,PS ZA 2,ZA 21A"
HT,1,5,1,PH 31
JA[,1,5,5,"HT 3,PH 18,PH 28,PH 7,ZA 4"
L2,1,5,4,"HT 120,HT 22,HT 86,PH 8"
QA,1,5,5,"HT 131,HT 23,HT 44,KH 10,PK 1"
QIF,1,5,5,"ARKH 2,HT 26,HT 28,KH 88,PH 2"
WI,1,5,4,"HT 115,HT 25,KH 5,MA 1"
ZU,1,5,5,"ARKH 4,HT 102,KH 5,PH 13,TY 3"
AB01 AB41 AB118,3,4,4,"HT 122A,HT 13,HT 85A,HT 99B"
AB01 AB53 AB01,3,4,4,"HT 10A,HT 122A,HT 85A,HT 93A"
AB02 AB22 AB67,3,4,4,"HT13,HT31,HT95,ZA10"
AB03 AB57 AB27,3,4,4,"HT 29,HT 88,HT 8B,ZA 10B"
AB03 AB60 AB24,3,4,4,"HT 115A,HT 115B,HT 96A,HT 96B"
AB07 AB06 AB10,3,4,4,"HT 16,HT 25A,HT 9A,HT 9B"
AB16 A310 AB28,3,4,4,"HT 122A,HT 85B,HT 8A,HT 8B"
AB27 AB59 AB06,3,4,4,"HT 108,HT 120,HT 2,HT 8A"
AB59 AB06 AB37,3,4,4,"HT 10B,HT 49A,HT 7A,HT 98A"
AB81 AB30 AB58,3,4,4,"HT 10A,HT 86A,HT 86B,HT 95B"
DA RI DA,3,4,4,"HT 10,HT 122,HT 85,HT 93"
PA JA RE,3,4,4,"HT 29,HT 8,HT 88,ZA 10"
QA QA RU,3,4,4,"HT 111,HT 118,HT 122,HT 93"
RE TA NA,3,4,4,"HT 108,HT 120,HT 2,HT 8"
TA NA TI,3,4,4,"HT 10,HT 49,HT 7,HT 98"
A306 AB69,2,4,4,"HT 119,HT 122A,HT 9A,HT 9B"
AB01 AB60,2,4,4,"HT 117A,HT 28A,PH 7A,PH 7B"
AB03 AB57,2,4,4,"HT 116A,HT 154A,HT 41A,PH 7A"
AB06 AB10,2,4,4,"HT 16,HT 25A,HT 9A,HT 9B"
AB06 AB37,2,4,4,"HT 10B,HT 49A,HT 7A,HT 98A"
AB06 AB69,2,4,4,"ARKH 6,HT 119,HT 47A,KH 7B"
AB21F AB118,2,4,4,"ARKH 2,KH 88,ZA 14,ZA 5A"
AB28 AB09,2,4,4,"GO WC 1A,KH 7B,ZA 6A,ZA 8"
AB30 AB58,2,4,4,"HT 10A,HT 86A,HT 86B,HT 95B"
AB31 AB02,2,4,4,"HT 17,HT 19,HT 42 59,HT 9A"
AB31 AB24,2,4,4,"ARKH 1A,HT 53A,KH 5,KH 6"
AB31 AB80,2,4,4,"HT 10A,HT 52A,HT 6B,ZA 10B"
AB46 AB07,2,4,4,"HT 122B,HT 140,HT 36,HT 8A"
AB53 AB01,2,4,4,"HT 10A,HT 122A,HT 85A,HT 93A"
AB53 AB57,2,4,3,"HT 24A,HT 55B,PH 28A"
AB59 [?],2,4,4,"KH 16,KH 39,KH 64,KN 32A"
AB60 AB24,2,4,4,"HT 115A,HT 115B,HT 96A,HT 96B"
AB69 AB24,2,4,4,"HT 117B,HT 12,HT 7B,HT 87"
DA RO,2,4,4,"ARKH 5,GO 2,HT 117,HT 47"
DA SI,2,4,4,"HT 122,HT 13,HT 85,HT 99"
DI NA,2,4,4,"HT 28,HT 98,KH 59,PH 1"
GRA F,2,4,4,"HT 125,HT 44,KH 1,KH 28"
JA KA,2,4,4,"HT 24,HT 28,HT 33,HT 34"
JE DI,2,4,4,"HT 122,HT 140,HT 36,HT 8"
KA RU,2,4,3,"HT 2,HT 86,HT 97"
MI NA,2,4,3,"HT 115,HT 135,ZA 10"
NA SI,2,4,4,"HT 117,HT 126,HT 28,KH 7"
NI SU,2,4,3,"HT 10,HT 86,HT 95"
NI TA,2,4,4,"HT 25,HT 27,PH 6,ZA 8"
OLE DI,2,4,4,"HT 12,HT 129,HT 28,HT 90"
QA RU,2,4,4,"HT 111,HT 118,HT 122,HT 93"
RI DA,2,4,4,"HT 10,HT 122,HT 85,HT 93"
SA MA,2,4,4,"HT 10,HT 52,HT 6,ZA 10"
SA RO,2,4,4,"HT 17,HT 19,HT 42 59,HT 9"
TU NE,2,4,4,"HT 117,HT 12,HT 7,HT12"
VIR KA,2,4,4,"HT 88,KH WC 2029 2030,KH WC 2031,KH WC 2032"
]KU RO,2,4,4,"HT 39,HT 46,HT 67,HT 74"
]OLE KI,2,4,4,"HT 125,HT 129,HT 44,HT 56"
A301,1,4,4,"HT 8A,HT 98A,HT WA 1029,KH 58"
A305,1,4,4,"HT 146,HT 27A,HT 9B,KH 7A"
A306,1,4,4,"HT 94A,HT WC 3017A,KH 100,KH 47"
AB05,1,4,4,"HT 120,HT 132,HT 97A,PH 3B"
AB21F,1,4,4,"HT 26A,HT 28A,HT 28B,PH 2"
AB23,1,4,4,"HT 117A,HT 23B,ZA 15A,ZA 21A"
AB61,1,4,4,"HT 144,KH WC 2035,PH 19,PH 31B"
B,1,4,4,"HT 120,HT 86,KE WC 2,MA 4"
CAPM,1,4,4,"HT 20,HT 64,KN WC 29,PH 31"
KI[,1,4,4,"HT 50,HT 62 73,PH 7,ZA 26"
OVIS,1,4,4,"HT 38,KH WC 2063,KH WC 2102,PH 31"
RA[,1,4,4,"ARKH 1,HT 57,HT 80,ZA 9"
VINB,1,4,4,"ARKH 2,ARKH 3,ARKH 5,ZA 10"
]OLIV,1,4,4,"HT 131,HT 50,ZA 11,ZA 6"
]VIR,1,4,4,"HT 105,KH 25,KH 26,PH 8"
A324 AB07 AB60,3,3,3,"HT 122A,HT 9A,HT 9B"
AB01 AB78 AB60,3,3,3,"HT 120,HT 57A,HT 6A"
AB03 AB09 AB57,3,3,3,"HT 93A,HT WC 3001,HT WC 3002"
AB08 AB77 AB26,3,3,3,"HT 2,HT 86A,HT 86B"
AB16 AB16 AB26,3,3,3,"HT 118,HT 122B,HT 93A"
AB21F AB69 AB24,3,3,3,"HT 117B,HT 7B,HT 87"
AB27 AB17 AB09,3,3,3,"ZA 10A,ZA 10B,ZA 20"
AB53 AB30 AB59,3,3,3,"HT 25A,PH 6,ZA 8"
AB55 AB80 AB27,3,3,3,"ZA 15A,ZA 4A,ZA 5B"
AB59 AB28 AB123,3,3,3,"HT 39,HT 9A,HT 9B"
AB67 AB22 AB03,3,3,3,"HT13,HT31,HT95"
AB73 AB55 AB04,3,3,3,"HT 86A,HT 95A,HT 95B"
AB77 AB81 AB03,3,3,3,"HT 16,HT WC 3015A,HT WC 3016A"
AB78 AB76 AB10,3,3,3,"HT 1,HT 95A,HT 95B"
AB81 AB73 AB06,3,3,2,"HT WC 3014A,ZA 10A"
DI NA U,3,3,3,"HT 16,HT 25,HT 9"
I GRA PA,3,3,3,"HT 120,HT 43,HT 93"
KU NI SU,3,3,3,"HT 10,HT 86,HT 95"
MI NU TE,3,3,3,"HT 106,HT 86,HT 95"
NU MA RE,3,3,3,"ZA 15,ZA 4,ZA 5"
PA RA NE,3,3,2,"HT 115,HT 96"
PA TA NE,3,3,3,"HT 122,HT 94,PH 31"
RI NI TA,3,3,3,"HT 25,PH 6,ZA 8"
SI PI KI,3,3,3,"ZA 15,ZA 4,ZA 5"
*401VAS RA,2,3,3,"KH 31,KH 91,MI 2"
*401VAS RU,2,3,3,"KH 12,KH 85,KH 91"
A SE,2,3,3,"HT 132,HT 81,HT 93"
AB01 AB02,2,3,3,"ARKH 5,HT 117A,HT 47A"
AB01 AB13,2,3,3,"HT 120,HT 86A,HT 95A"
AB01 AB28,2,3,3,"HT 12,HT 29,KH 13"
AB03 AB45,2,3,3,"HT 122A,HT 9A,HT 9B"
AB04 AB69,2,3,3,"HT 13,HT 7A,ZA 20"
AB07 AB30,2,3,3,"HT 93A,HT WC 3007,HT WC 3008A"
AB08 AB09,2,3,3,"HT 132,HT 81,HT 93A"
AB08 AB80,2,3,3,"HS ZG 1,MA 1B,ZA 7B"
AB08 [?],2,3,3,"ARKH 4A,KH 73,PH 31A"
AB09 AB57,2,3,3,"HT 93A,HT WC 3001,HT WC 3002"
AB10 AB49,2,3,3,"HT 120,HT 126A,ZA 10B"
AB16 AB118,2,3,3,"HT 131A,HT 44A,KH 10"
AB16 AB26,2,3,3,"HT 118,HT 122B,HT 93A"
AB22 AB03,2,3,3,"HT13,HT31,HT95"
AB26 AB80,2,3,3,"HT 115B,HT 118,HT 64"
AB27 AB65,2,3,3,"HT 117B,HT 20,HT 39"
AB28 AB123,2,3,3,"HT 39,HT 9A,HT 9B"
AB28 AB41,2,3,3,"KH 16,KH 51,KH 9"
AB28 AB77,2,3,3,"HT 102,HT 91,KN WC 3"
AB39 AB59,2,3,3,"HT 6A,ZA 10A,ZA 8"
AB53 AB04,2,3,3,"HT 117A,HT 4,HT 87"
AB53 AB66,2,3,3,"HT 114A,HT 121,HT 90"
AB55 AB04,2,3,3,"HT 86A,HT 95A,HT 95B"
AB55 AB37,2,3,3,"HT 84,HT 97A,ZA 9"
AB59 AB24,2,3,3,"HT 135B,HT 94B,HT WA 1019"
AB59 AB27,2,3,3,"HT 88,KH 41,ZA 8"
AB59 AB57,2,3,3,"HT 28A,HT 6A,HT ZD 156"
AB59 AB60,2,3,3,"HT 6A,HT 89,HT 96A"
AB60 AB27,2,3,3,"HT 117A,HT 96B,KN ZC 7"
AB69 [?],2,3,3,"HT 85B,KH 2,PH 31B"
AB73 AB55,2,3,3,"HT 117A,MA 1A,MA 1B"
AB73 AB59,2,3,3,"HT 128A,HT 96A,ZA 10B"
AB76 AB10,2,3,3,"HT 1,HT 95A,HT 95B"
AB78 AB60,2,3,3,"HT 120,HT 57A,HT 6A"
AB79 AB30,2,3,3,"HT 13,HT 26B,HT 85A"
AB80 AB59,2,3,3,"HT 29,HT 95A,HT 99B"
DA I,2,3,3,"HT 12,HT 29,HT12"
DA ME,2,3,3,"HT 120,HT 86,HT 95"
DA RA,2,3,3,"HT 117,HT 28,PH 7"
FIC TE,2,3,3,"HT 51,HT 67,HT 70"
GRA QE,2,3,3,"HT 101,HT 18,HT 28"
I SE,2,3,3,"KH 7,ZA 6,ZA 8"
JA I,2,3,3,"HT 29,HT 37,KH 81"
KI ME,2,3,3,"HT 127,HT 26,TY 3"
KU PA,2,3,3,"HT 110,KH 29,ZA 11"
KU RA,2,3,3,"ARKH 2,HT8,ZA 20"
MA TA,2,3,3,"HT 29,HT 95,HT 99"
NA U,2,3,3,"HT 16,HT 25,HT 9"
NI MI,2,3,3,"HT 6,HT 85,PK 1"
NU TE,2,3,3,"HT 106,HT 86,HT 95"
OLE E,2,3,3,"HT 2,HT 21,HT 50"
OLE MI[,2,3,2,"HT 58,TY 3"
OLE NE,2,3,3,"HT 100,HT 23,HT 32"
OLE TU,2,3,3,"HT 23,HT 28,TY 3"
PA JA,2,3,3,"HT 116,HT 154A,HT 41"
PI KI,2,3,3,"ZA 15,ZA 4,ZA 5"
PI TA,2,3,3,"HT 6,ZA 10,ZA 8"
QA I,2,3,3,"HT 122,HT 8,HT 85"
RA NE,2,3,2,"HT 115,HT 96"
RE JU,2,3,3,"HT 117,HT 20,HT 39"
RE TA2,2,3,3,"HT 125,HT 129,HT 85"
RI TA2,2,3,3,"HT 114,HT 121,HT 90"
SA RI,2,3,3,"PH 6,ZA 11,ZA 21"
TA I,2,3,3,"HT 123 124,HT 39,HT 9"
TA NE,2,3,3,"HT 122,HT 94,PH 31"
TA RA,2,3,3,"HT 6,HT 89,HT 96"
TA RE,2,3,3,"HT 88,PK 1,ZA 8"
TE GRA,2,3,3,"HT 14,HT 21,HT 40"
TE TU,2,3,3,"HT 13,HT 7,ZA 20"
TE VINA,2,3,3,"HT 19,HT 62 73,HT 9"
ZU NI,2,3,3,"HT 13,HT 26,HT 85"
[?] AB08,2,3,3,"HT 45B,KH 33,KH 73"
*164A,1,3,3,"KH WC 2042,KH WC 2043,KH WC 2044 2096"
*409VAS,1,3,3,"KH WC 2010,KH WC 2020,KH WC 2021"
A321,1,3,3,"HT 6A,TY 3A,ZA 18A"
AB131A,1,3,3,"HT 123A,HT 14,HT 89"
AB188,1,3,2,"HT 123B,HT 8B"
AB29,1,3,3,"HT 25A,HT 49A,HT 63"
AB46,1,3,3,"KH 1,KH 50,KH 6"
AB49,1,3,3,"HT 120,HT 126A,ZA 10B"
AB65?,1,3,1,TY 2
AB70,1,3,3,"HT 24A,HT 31,HT 62 73"
D,1,3,3,"HT WC 3016,HT WC 3018,HT WE WC 3020"
FIC[,1,3,3,"HT 44,KH 17,KH 91"
I[,1,3,3,"KH 13,KH 97,THE TABLET 5"
KA[,1,3,3,"HT 135,MI 2,PE 1"
KU[,1,3,3,"HT 127,HT 139,ZA 18"
MA[,1,3,3,"HT 64,ZA 6,ZA 7"
MU,1,3,3,"HT 117,ZA 15,ZA 21"
NA[,1,3,3,"HT 64,HT 93,KH 79 89"
O,1,3,3,"KN WC 42,PH 19,PH 31"
PU2,1,3,3,"HT 25,HT 49,HT 8"
QE[,1,3,3,"HT 54,HT 62 73,HT 99"
SI[,1,3,3,"GO 2,KH 60,PH 31"
TO,1,3,3,"HT 120,HT 132,HT 97"
VIR[,1,3,3,"HT 68,HT 84,KH WC 2004"
A DU ZA,3,2,2,"KH 11,PK 1"
A KA RU,3,2,2,"HT 2,HT 86"
AB03 AB28 AB05,3,2,2,"HT 120,HT 97A"
AB03 AB59 AB01,3,2,2,"HT ZB 160,PH 31A"
AB03 AB59 AB24,3,2,2,"HT 94B,HT WA 1019"
AB05 AB81 AB02,3,2,2,"HT 122B,HT 131B"
AB07 AB45 AB26,3,2,2,"HT 86A,HT 95B"
AB07 AB53 AB06,3,2,2,"HT 102,HT 93A"
AB07 AB67 AB09,3,2,2,"HT 117B,HT 87"
AB08 AB03 [?],3,2,2,"ARKH 1A,KN 32A"
AB10 A325 AB17,3,2,2,"HT 10A,HT 85A"
AB10 AB34 AB41,3,2,2,"HT 140,HT 15"
AB10 AB45 AB17,3,2,2,"HT 122A,HT 122B"
AB16 AB55 AB80,3,2,2,"HT 116A,KH 88"
AB24 AB73 AB06,3,2,2,"HT 115A,HT 135A"
AB26 AB80 AB59,3,2,2,"HT 29,HT 99B"
AB28 AB16 AB118,3,2,2,"HT 131A,HT 44A"
AB28 AB39 AB59,3,2,2,"ZA 10A,ZA 8"
AB37 AB37 A319,3,2,2,"HT ZD 155,HT ZD 157"
AB41 AB01 AB27,3,2,2,"HT 122A,HT 17"
AB41 AB39 AB67,3,2,2,"ZA 4A,ZA 5B"
AB41 AB57 AB77,3,2,2,"HT 28A,HT 28B"
AB41 AB67 AB60,3,2,2,"HT 8A,KH 20"
AB41 AB79 AB38,3,2,2,"ZA 15A,ZA 4A"
AB45 AB73 AB55,3,2,2,"MA 1A,MA 1B"
AB51 AB30 AB73,3,2,2,"HT 6B,HT 85B"
AB54 AB07 AB30,3,2,2,"HT WC 3007,HT WC 3008A"
AB56 AB06 AB69,3,2,2,"HT 119,HT 47A"
AB56 AB30 AB06,3,2,2,"HT 6B,HT 93A"
AB59 AB06 AB04,3,2,1,ZA 10A
AB60 AB06 AB27,3,2,2,"HT 1,HT 47B"
AB60 AB164A AB37,3,2,2,"HT 17,HT 19"
AB67 AB01 AB02,3,2,2,"HT 117A,HT 47A"
AB67 AB31 AB24,3,2,2,"ARKH 1A,KH 6"
AB67 AB53 AB66,3,2,2,"HT 114A,HT 121"
AB73 AB01 AB38,3,2,2,"ZA 15A,ZA 5A"
AB73 AB06 AB41,3,2,2,"HT 117A,HT 28B"
AB77 AB53 AB04,3,2,2,"HT 117A,HT 87"
AB79 AB07 AB60,3,2,2,"HT WC 3011,HT WC 3012A"
AB81 AB09 AB24,3,2,1,HT 103
AB81 AB27 AB65,3,2,2,"HT 117B,HT 39"
AB81 AB79 AB30,3,2,2,"HT 13,HT 85A"
B PA D,3,2,2,"HT WC 3016,HT WE WC 3020"
DA NA TU,3,2,2,"ARKH 6,HT7"
DA QE RA,3,2,2,"HT 120,HT 6"
DI DE RU,3,2,2,"HT 86,HT 95"
DI KI SE,3,2,2,"HT 117,HT 87"
DI RI NA,3,2,2,"HT 102,HT 93"
DU NI MI,3,2,2,"HT 6,HT 85"
GRA K L2,3,2,2,"HT 120,HT 86"
I PI TA,3,2,2,"ZA 10,ZA 8"
KA I TA,3,2,2,"PK 1,ZA 5"
KI DA RO,3,2,2,"HT 117,HT 47"
KI RE TA2,3,2,2,"HT 129,HT 85"
KI RI TA2,3,2,2,"HT 114,HT 121"
KU MI NA,3,2,1,ZA 10
KU ZU NI,3,2,2,"HT 13,HT 85"
MI JA I,3,2,2,"HT 37,KH 81"
MI JA KA,3,2,2,"HT 33,HT 34"
MI NA SI,3,2,2,"HT 117,HT 28"
NE MI NA,3,2,2,"HT 115,HT 135"
PA I TO,3,2,2,"HT 120,HT 97"
PA3 NA TU,3,2,2,"HT 119,HT 47"
PA3 NI NA,3,2,2,"HT 6,HT 93"
QE TU NE,3,2,2,"HT 12,HT12"
QIF TU NE,3,2,2,"HT 117,HT 7"
RA *164A TI,3,2,2,"HT 17,HT 19"
RE ZA SE,3,2,2,"ZA 10,ZA 20"
RU MA TA,3,2,2,"HT 29,HT 99"
SI AU RE,3,2,1,PH 31
SI DA RE,3,2,2,"HT 122,HT 17"
SI KI RA,3,2,2,"HT 8,KH 20"
SI ZU E,3,2,2,"ZA 15,ZA 4"
TA NA TE,3,2,1,ZA 10
TO KU RO,3,2,2,"HT 122,HT 131"
TU JU MA,3,2,2,"HT 117,PH 31"
U DE ZA,3,2,1,HT 122
[?] RE PU,3,2,2,"HT 33,HT 45"
*164A TI,2,2,2,"HT 17,HT 19"
A MI,2,2,2,"PH 14,PH 31"
A RI,2,2,2,"HT 141,PH 6"
A RU,2,2,2,"HT 49,HT 9"
A TE,2,2,2,"HT 96,KH 11"
A325 AB17,2,2,2,"HT 10A,HT 85A"
AB01 AB04,2,2,2,"ARKH 2,HT 12"
AB01 AB30,2,2,2,"HT 41A,KH 79 89"
AB01 AB38,2,2,2,"ZA 15A,ZA 5A"
AB01 AB59,2,2,2,"HT 123B,HT 40"
AB03 AB09,2,2,2,"HT 18,HT 27B"
AB03 AB60,2,2,2,"HT 128A,PH 3A"
AB03 [?],2,2,2,"ARKH 1A,KN 32A"
AB04 A301,2,2,2,"HT 8A,HT 98A"
AB04 AB04,2,2,2,"HT 26A,ZA 23"
AB04 AB53,2,2,2,"HT 91,PH 31B"
AB04 AB67,2,2,2,"HT 122A,HT 13"
AB04 [?],2,2,2,"PH 27,ZA 19"
AB05 AB28,2,2,2,"ARKH 2,KH 11"
AB06 AB04,2,2,1,ZA 10A
AB06 AB27,2,2,2,"HT 1,HT 47B"
AB06 AB51,2,2,2,"HT 14,KH 5"
AB07 AB24,2,2,2,"HT 6A,KH 83"
AB07 AB67,2,2,2,"PH 2,ZA 27"
AB08 AB53,2,2,2,"HT 141,PH 6"
AB08 AB60,2,2,2,"ARKH 1A,KH 79 89"
AB09 AB24,2,2,1,HT 103
AB10 AB37,2,2,2,"HT 10B,MA 2C"
AB100 AB28,2,2,2,"HT 11A,HT 93A"
AB13 AB17,2,2,2,"HT 10A,HT 85B"
AB164A AB37,2,2,2,"HT 17,HT 19"
AB188 AB51,2,2,2,"HT WA 1021,HT WC 3020A"
AB22 AB09,2,2,2,"HT13,HT31"
AB22 AB59,2,2,2,"HT13,HT31"
AB23 AB26,2,2,2,"HT 3,HT 46A"
AB24 AB04,2,2,2,"HT 98B,ZA 10B"
AB26 AB57,2,2,2,"HT 7A,KN WC 26A"
AB27 AB02,2,2,2,"HT WC 3003,HT WC 3012B"
AB28 AB01,2,2,2,"ZA 21B,ZA 24A"
AB28 AB05,2,2,2,"HT 120,HT 97A"
AB28 AB37,2,2,2,"HT 117A,HT 25B"
AB30 AB06,2,2,2,"HT 6B,HT 93A"
AB30 AB73,2,2,2,"HT 6B,HT 85B"
AB30 AB77,2,2,2,"HT WC 3004A,HT WC 3005A"
AB30 [?],2,2,2,"HT 95A,PH 16A"
AB31 AB53,2,2,2,"PH 6,ZA 21B"
AB31 AB60,2,2,2,"HT 27A,HT 62 73"
AB34 AB41,2,2,2,"HT 140,HT 15"
AB37 A319,2,2,2,"HT ZD 155,HT ZD 157"
AB37 AB53,2,2,2,"KN ZC 6,PH 30"
AB37 AB65,2,2,2,"HT 108,ZA 14"
AB37 [?],2,2,2,"HT 62 73,HT 93A"
AB39 AB31,2,2,2,"HT 123B,KH 6"
AB39 AB67,2,2,2,"ZA 4A,ZA 5B"
AB39 [?],2,2,2,"HT 9B,KN ZC 7"
AB41 AB51,2,2,2,"HT 123B,HT 43"
AB41 AB60,2,2,2,"HT 49A,ZA 9"
AB41 AB69,2,2,2,"HT WA 1019,ZA 20"
AB45 AB17,2,2,2,"HT 122A,HT 122B"
AB45 AB26,2,2,2,"HT 86A,HT 95B"
AB50 AB131A,2,2,2,"HT 123A,HT 14"
AB50 AB76,2,2,2,"HT 116A,HT 28B"
AB53 AB45,2,2,2,"HT 113,KH 99"
AB55 AB27,2,2,2,"HT 154JA,KH 6"
AB55 AB40,2,2,2,"HT 115A,HT 115B"
AB55 AB80,2,2,2,"HT 116A,KH 88"
AB56 AB30,2,2,2,"HT 102,HT 85A"
AB56 [?],2,2,1,PH 28A
AB57 AB21F,2,2,2,"HT 28A,HT 28B"
AB57 AB58,2,2,2,"HT ZD 157,KN 32B"
AB57 AB77,2,2,2,"HT 28A,HT 28B"
AB57 AB81,2,2,2,"KN ZF 13,MA 2B"
AB58 AB29,2,2,2,"HT 49A,HT 63"
AB58 AB50,2,2,2,"HT 31,HT 87"
AB58 AB77,2,2,2,"HT WC 3009A,HT WC 3010"
AB59 AB01,2,2,2,"HT ZB 160,PH 31A"
AB59 AB37,2,2,2,"HT 26A,HT 97A"
AB60 AB37,2,2,2,"HT 8A,KN 1B"
AB61 AB73,2,2,2,"HT WC 3006A,ZA 27"
AB67 AB09,2,2,2,"HT 117B,HT 87"
AB73 AB69,2,2,2,"HT 117A,HT 135A"
AB73 [?],2,2,2,"HT 113 TER,ZA 1B"
AB77 AB06,2,2,2,"HT 123B,HT 23A"
AB77 AB07,2,2,2,"ZA 15B,ZA 4A"
AB78 AB50,2,2,2,"HT 9A,HT 9B"
AB79 AB06,2,2,2,"HT 11B,HT 64"
AB79 AB38,2,2,2,"ZA 15A,ZA 4A"
AB79 AB51,2,2,2,"HT 51B,HT 99B"
AB80 AB02,2,2,2,"HT 88,HT 96A"
AB80 AB24,2,2,2,"HT 29,PH 7A"
AB80 AB37,2,2,2,"HT 39,PH 31B"
AB80 AB41,2,2,2,"HT 5,ZA 11A"
AB80 AB65,2,2,2,"HT 20,ZA 9"
AB81 AB06,2,2,2,"HT 103,ZA 15A"
AB81 AB27,2,2,2,"HT 20,HT 53B"
