trigram,count,relative_frequency
AB21F AB53 AB69,1,0.000547
AB53 AB69 AB16,1,0.000547
AB31 AB31 AB13,1,0.000547
KI MA RU[,1,0.000547
KU PA3 RI,1,0.000547
PA3 RI JA,1,0.000547
MA RU ME,1,0.000547
PA SA RI,1,0.000547
SA RI JA,1,0.000547
RU I KO,1,0.000547
SI ME KI,1,0.000547
AB03 AB31 AB53,1,0.000547
AB31 AB53 AB57,1,0.000547
AB26 AB28 AB70,1,0.000547
AB81 AB56 AB53,1,0.000547
AB56 AB53 AB57,1,0.000547
DU RU WI[,1,0.000547
I KI RA,1,0.000547
TU QE NU[,1,0.000547
U RE WI,1,0.000547
WI TE RO,1,0.000547
TE RO I,1,0.000547
RO I TI,1,0.000547
ZU JU PU2,1,0.000547
AB10 AB27 AB40,1,0.000547
AB28 AB67 AB60,1,0.000547
AB51 AB26 AB40,1,0.000547
AB69 AB78 AB55,1,0.000547
AB79 AB65 AB29,1,0.000547
AB40 AB04 AB02,1,0.000547
*406VAS KE VIR,1,0.000547
KA U ZU,1,0.000547
U ZU NI,1,0.000547
MI KI SE,1,0.000547
KI SE NA,1,0.000547
U NU QIF,1,0.000547
A312 AB04 AB04,1,0.000547
AB10 AB55 AB21F,1,0.000547
AB73 AB67 AB09,1,0.000547
AB67 AB09 AB06,1,0.000547
AB03 AB02 AB30,1,0.000547
AB77 AB10 AB79,1,0.000547
AB10 AB79 AB30,1,0.000547
TI NI TA,1,0.000547
VINA GRA SA,1,0.000547
VINA WA SA,1,0.000547
]I MI SA,1,0.000547
MI SA RA,1,0.000547
]SA RA DI,1,0.000547
AB28 AB73 AB31,1,0.000547
AB73 AB31 AB60,1,0.000547
AB31 AB60 AB07,1,0.000547
AB37 AB30 AB59,1,0.000547
A RU DA,1,0.000547
RU DA RA,1,0.000547
JA KA U,1,0.000547
KA U MI,1,0.000547
I TA JA,1,0.000547
VIR KA VINA,1,0.000547
WI DI NA,1,0.000547
AB08 AB26 AB01,1,0.000547
AB26 AB01 AB60,1,0.000547
AB28 AB59 AB57,1,0.000547
AB40 AB07 AB06,1,0.000547
A RE DA,1,0.000547
RE DA I,1,0.000547
A340 AB67 AB59,1,0.000547
AB07 AB57 AB28,1,0.000547
AB08 AB27 AB01,1,0.000547
AB27 AB01 AB28,1,0.000547
AB31 A323 AB73,1,0.000547
AB77 AB51 AB80,1,0.000547
AB51 AB80 AB24,1,0.000547
KA DU MA,1,0.000547
DU MA NE,1,0.000547
]DI JA I,1,0.000547
AB41 AB69 AB76,1,0.000547
AB69 AB76 AB27,1,0.000547
AB78 AB76 AB57,1,0.000547
QE RA2 JA[,1,0.000547
]KU PA3 NU,1,0.000547
]SI TU RA2,1,0.000547
TU RA2 RE,1,0.000547
AB31 AB60 AB60,1,0.000547
SA RA RA,1,0.000547
*402VAS PA TA,1,0.000547
PA TA QE,1,0.000547
*402VAS QA PA3,1,0.000547
*402VAS SU PA3,1,0.000547
SU PA3 RA,1,0.000547
*415VAS SU PU,1,0.000547
*416VAS KA RO,1,0.000547
KA RO PA3,1,0.000547
AB03 AB59 AB78,1,0.000547
AB31 AB57 AB80,1,0.000547
AB58 AB56 AB60,1,0.000547
AB67 AB45 AB80,1,0.000547
AB45 AB80 A323,1,0.000547
AB80 A323 AB06,1,0.000547
AB77 AB02 AB56,1,0.000547
KI DE MA,1,0.000547
DE MA NA,1,0.000547
SA JA MA,1,0.000547
TI SA PU,1,0.000547
SA PU KO,1,0.000547
[?] AB37 AB31,1,0.000547
AB01 AB65 AB04,1,0.000547
DA JU TE,1,0.000547
SA MU KU,1,0.000547
SI[ ]I [?],1,0.000547
AB28 AB81 AB59,1,0.000547
I KU TA,1,0.000547
AB51 AB79 AB54,1,0.000547
DU ZU WA,1,0.000547
AB27 AB58 [?],1,0.000547
AB67 A310 AB27,1,0.000547
AB01 AB02 AB03,1,0.000547
DA RO PA,1,0.000547
AB31 AB80 AB37,1,0.000547
]KU RE JU,1,0.000547
]SA MA TI,1,0.000547
AB59 AB39 AB41,1,0.000547
AB39 AB41 AB07,1,0.000547
[?] A306 AB37,1,0.000547
A306 AB37 AB77,1,0.000547
AB37 AB77 AB08,1,0.000547
AB77 AB08 AB27?,1,0.000547
[?] AB51 AB53,1,0.000547
AB51 AB53 AB04,1,0.000547
]TA PI SI,1,0.000547
PI SI DI,1,0.000547
AB55 AB51 A331,1,0.000547
AB67 AB01 AB59,1,0.000547
KI DA TA,1,0.000547
MI DA NI,1,0.000547
DA NI PA,1,0.000547
NI PA JA,1,0.000547
AB73 AB01 AB30,1,0.000547
SI SE TE,1,0.000547
AB03 A342 AB28,1,0.000547
AB80 AB41 AB51,1,0.000547
MA SI DU,1,0.000547
SI DU PA,1,0.000547
DU PA I,1,0.000547
TE GRA F,1,0.000547
AB02 [?] AB08,1,0.000547
MI NU MI,1,0.000547
]RA NA RE[,1,0.000547
AB73 AB55 AB73,1,0.000547
TI DU NI,1,0.000547
TU SU PU2,1,0.000547
AB37 AB51 AB30,1,0.000547
AB69 AB58 AB29,1,0.000547
[?] AB76 AB51,1,0.000547
[?] AB40 AB51,1,0.000547
]KU ME TA,1,0.000547
AB81 AB13 AB59,1,0.000547
DI KA KI,1,0.000547
AB07 AB77 AB69,1,0.000547
KI MI RA2,1,0.000547
]KU MI NA,1,0.000547
MI NA QE[,1,0.000547
AB73 AB06 AB78,1,0.000547
DA QE RA[,1,0.000547
AB78 AB37 AB60,1,0.000547
AB37 AB60 AB51,1,0.000547
QE TI RA,1,0.000547
TI RA DU,1,0.000547
DA TA RA,1,0.000547
DU DA MA,1,0.000547
KA PA QE,1,0.000547
MA RI I,1,0.000547
O RA2 DI,1,0.000547
RA2 DI NE,1,0.000547
PI TA JA,1,0.000547
QE PI TA,1,0.000547
RA TI SE,1,0.000547
AB03 AB28 AB67,1,0.000547
AB28B AB37 [?],1,0.000547
AB31 AB02 AB78,1,0.000547
PA I KI[,1,0.000547
SA RO QE[,1,0.000547
[?] AB31 AB60,1,0.000547
AB81 AB79 AB06,1,0.000547
]KU ZU NA[,1,0.000547
AB01 AB59 AB60,1,0.000547
AB39 AB59 AB57,1,0.000547
AB61 AB76 AB07,1,0.000547
AB76 AB07 AB24,1,0.000547
AB77 AB03 AB78,1,0.000547
AB78 AB39 AB59,1,0.000547
AB51 AB01 AB80,1,0.000547
AB60 AB37 AB09,1,0.000547
I RU JA,1,0.000547
AB16 AB118 AB31,1,0.000547
AB69 AB03 AB53,1,0.000547
]TU PA RI,1,0.000547
AB28 AB26 AB57,1,0.000547
AB01 AB26 A329,1,0.000547
PA3 KA RA,1,0.000547
KA RA TI,1,0.000547
AB53 AB58 AB80,1,0.000547
]RI SU MA,1,0.000547
GRA OVIS F,1,0.000547
AB21F AB57 AB51,1,0.000547
QIF JA DU,1,0.000547
KI KI RA,1,0.000547
KI RA JA,1,0.000547
RE DI SE,1,0.000547
AB04 AB69 [?],1,0.000547
AB27 AB07 AB09,1,0.000547
AB67 AB27 AB66,1,0.000547
AB67 AB67 AB60,1,0.000547
AB67 AB60 AB57,1,0.000547
QA RA2 WA,1,0.000547
[[A KA RU,1,0.000547
[[KU NI SU,1,0.000547
AB16 AB76 AB54,1,0.000547
A RA A,1,0.000547
RA A TU,1,0.000547
AB08 AB60 [?],1,0.000547
AB60 [?] AB08,1,0.000547
[?] AB08 AB69,1,0.000547
AB39 AB59 AB44,1,0.000547
AB59 AB44 AB41,1,0.000547
AB57 AB27 AB73,1,0.000547
AB78 AB58 AB50,1,0.000547
AB81 AB26 AB81,1,0.000547
JA RE MI,1,0.000547
KU RU KU,1,0.000547
PI TA KE,1,0.000547
TA KE SI,1,0.000547
QE SU PU,1,0.000547
TU NE MA,1,0.000547
NE MA KA,1,0.000547
AB01 AB59 AB27,1,0.000547
AB31 AB80 AB02,1,0.000547
AB67 AB67 AB06,1,0.000547
AB81 AB56 AB56,1,0.000547
DA TA RE,1,0.000547
FIC KI KI,1,0.000547
KI KI NA,1,0.000547
KU PA3 PA3,1,0.000547
SA MA RO,1,0.000547
3RD UNIT WINE,1,0.000547
UNIT WINE TO,1,0.000547
WINE TO EACH,1,0.000547
A SA RA2,1,0.000547
AB08 AB31 AB76,1,0.000547
AB80 AB28 AB73,1,0.000547
CA 10TH UNIT,1,0.000547
10TH UNIT TO,1,0.000547
UNIT TO EACH,1,0.000547
CA 20TH UNIT,1,0.000547
20TH UNIT FIGS,1,0.000547
UNIT FIGS TO,1,0.000547
FIGS TO EACH,1,0.000547
TO EACH CF,1,0.000547
EACH CF HT,1,0.000547
CF HT WHERE,1,0.000547
HT WHERE THE,1,0.000547
WHERE THE RATIO,1,0.000547
THE RATIO FIC,1,0.000547
RATIO FIC VIR,1,0.000547
FIC VIR KA,1,0.000547
VIR KA IS,1,0.000547
KA IS TIMES,1,0.000547
IS TIMES THIS,1,0.000547
TIMES THIS AMOUNT,1,0.000547
THIS AMOUNT IF,1,0.000547
AMOUNT IF JU,1,0.000547
IF JU QE,1,0.000547
JU QE ARE,1,0.000547
QE ARE PEOPLE,1,0.000547
ARE PEOPLE MIGHT,1,0.000547
PEOPLE MIGHT THEY,1,0.000547
MIGHT THEY BE,1,0.000547
THEY BE CHILDREN?,1,0.000547
MA I MI,1,0.000547
AB56 AB77 AB60,1,0.000547
AB77 AB60 AB37,1,0.000547
AB58 AB29 AB188,1,0.000547
WA JA PI,1,0.000547
AB28 AB81 AB53,1,0.000547
AB81 AB53 AB06,1,0.000547
AB41 AB26 AB80,1,0.000547
AB26 AB80 AB53,1,0.000547
AB80 AB53 AB66,1,0.000547
I KU RI,1,0.000547
KU RI NA,1,0.000547
SI RU MA,1,0.000547
RU MA RI,1,0.000547
MA RI TA2,1,0.000547
DA RE SE,1,0.000547
DE JU KU,1,0.000547
GRA PA3 RE,1,0.000547
PA3 RE SE,1,0.000547
KI DI NI,1,0.000547
PA SE JA,1,0.000547
PA3 NI NA[,1,0.000547
AB45 AB65 AB81,1,0.000547
AB61 AB37 [?],1,0.000547
AB67 AB07 AB30,1,0.000547
KE KI RU,1,0.000547
RA DE ME,1,0.000547
DE ME TE,1,0.000547
AB44 AB67 AB26,1,0.000547
AB60 [?] AB45,1,0.000547
[?] AB45 AB13,1,0.000547
AB45 AB13 AB04,1,0.000547
DA DU MA,1,0.000547
DU MA TA,1,0.000547
AB01 AB51 AB80,1,0.000547
AB51 AB80 AB59,1,0.000547
AB45 AB26 AB78,1,0.000547
