sign,count,relative_frequency
TARA,1,0.000152
[NAME,1,0.000152
A318,1,0.000152
OFIMPRESSIONS,1,0.000152
CAP,1,0.000152
TELA3,1,0.000152
SUP,1,0.000152
VIN[,1,0.000152
A349,1,0.000152
A350,1,0.000152
A651,1,0.000152
ZA[,1,0.000152
A303,1,0.000152
VINC,1,0.000152
]SE,1,0.000152
TA2[,1,0.000152
AB55?,1,0.000152
ZE,1,0.000152
A335,1,0.000152
AB20,1,0.000152
AB85,1,0.000152
BOS,1,0.000152
]*131C,1,0.000152
]*401VAS,1,0.000152
R,1,0.000152
[[FIC,1,0.000152
VINC[,1,0.000152
AB08?,1,0.000152
]NA,1,0.000152
A501,1,0.000152
A640,1,0.000152
*411VASA,1,0.000152
*164B,1,0.000152
*164C,1,0.000152
]SU,1,0.000152
DISC,1,0.000152
PAPYRUS,1,0.000152
MOTIF,1,0.000152
VESTIGIA,1,0.000152
]JA[,1,0.000152
]WI[,1,0.000152
AB74,1,0.000152
X,1,0.000152
?][,1,0.000152
*405VAS,1,0.000152
*413VAS,1,0.000152
L,1,0.000152
*180B,1,0.000152
AB43,1,0.000152
A355,1,0.000152
A354,1,0.000152
A328,1,0.000152
A356,1,0.000152
A304,1,0.000152
A357,1,0.000152
A358,1,0.000152
A359,1,0.000152
A360,1,0.000152
[[GRAFFITO]],1,0.000152
CAPF,1,0.000152
BEFORE,1,0.000152
A3,1,0.000152
SAME,1,0.000152
AS,1,0.000152
U?,1,0.000152
10A,1,0.000152
PH,1,0.000152
14B,1,0.000152
49A,1,0.000152
117A,1,0.000152
47A,1,0.000152
85B,1,0.000152
97A,1,0.000152
AU[,1,0.000152
ZB,1,0.000152
*418VAS,1,0.000152
]*417VAS,1,0.000152
A317,1,0.000152
A353,1,0.000152
??,1,0.000152
AB48,1,0.000152
]OVIS,1,0.000152
]TELA,1,0.000152
PU[,1,0.000152
*309B[,1,0.000152
]*309B,1,0.000152
]KO,1,0.000152
]OLIV[,1,0.000152
A361,1,0.000152
A362,1,0.000152
ME[,1,0.000152
]TA2,1,0.000152
A[,1,0.000152
]E,1,0.000152
A363,1,0.000152
A364,1,0.000152
]OVISF[,1,0.000152
AB82,1,0.000152
OLIV[,1,0.000152
]PU2,1,0.000152
