bigram,count,relative_frequency
AB51 AB65,1,0.000250
DU JU,1,0.000250
AB73 AB27,1,0.000250
]MI RE[,1,0.000250
]TE TE,1,0.000250
JA KI[,1,0.000250
TE DI,1,0.000250
O MI[,1,0.000250
]DI KI,1,0.000250
A TI,1,0.000250
JA TO,1,0.000250
TO JA[,1,0.000250
ME SE,1,0.000250
AB37 AB26,1,0.000250
AB38 AB82,1,0.000250
[?] AB09,1,0.000250
AB57 AB05,1,0.000250
AB05 AB57,1,0.000250
AB13 AB09,1,0.000250
KI NI,1,0.000250
NI MA,1,0.000250
O TA,1,0.000250
TA NI,1,0.000250
NI ZA,1,0.000250
DA E[,1,0.000250
VINA SU,1,0.000250
AB31 AB73,1,0.000250
AB61 AB59,1,0.000250
AB30 AB17,1,0.000250
AB67 AB30,1,0.000250
AB30 AB80,1,0.000250
JU TI,1,0.000250
TI IB,1,0.000250
TE MI[,1,0.000250
PA ZA,1,0.000250
VINA KA,1,0.000250
WA NA,1,0.000250
]I MA[,1,0.000250
]PU2 RA2,1,0.000250
A305 AB54,1,0.000250
AB54 AB06,1,0.000250
AB29 AB76,1,0.000250
AB34 AB65,1,0.000250
AB04 AB73,1,0.000250
A312 AB66,1,0.000250
AB03 AB17,1,0.000250
AB28 AB80,1,0.000250
AB65 AB37,1,0.000250
AB37 AB28B,1,0.000250
A MA[,1,0.000250
RA TU,1,0.000250
TU MI[,1,0.000250
U JU,1,0.000250
AB60 AB69,1,0.000250
AB10 AB65,1,0.000250
AB28 AB55,1,0.000250
AB80 AB03,1,0.000250
AB28 AB02,1,0.000250
AB69 AB70,1,0.000250
AB70 AB27,1,0.000250
I RO,1,0.000250
TU KO,1,0.000250
KO RE,1,0.000250
I NU,1,0.000250
MA PA,1,0.000250
AB02 AB41,1,0.000250
AB17 [?],1,0.000250
AB40 AB60,1,0.000250
AB73 AB04,1,0.000250
OVIS SI,1,0.000250
RO SI,1,0.000250
SI RA[,1,0.000250
WI RA,1,0.000250
MI TE,1,0.000250
[?] AB55,1,0.000250
[?] AB80,1,0.000250
AB51 AB70,1,0.000250
AB70 AB73,1,0.000250
AB69 AB22,1,0.000250
AB17 AB22,1,0.000250
AB22 AB40,1,0.000250
