bigram,count,relative_frequency
SE JA,2,0.000500
NA QIF,2,0.000500
RA JA,2,0.000500
TA MA,2,0.000500
NU WI,2,0.000500
AB06 AB21F,2,0.000500
AB21F AB24,2,0.000500
AB55 AB40,2,0.000500
AB81 AB59,2,0.000500
PI TE,2,0.000500
PU RA2,2,0.000500
QA NU,2,0.000500
U TA,2,0.000500
AB16 AB55,2,0.000500
AB50 AB76,2,0.000500
DA NE,2,0.000500
KU TI,2,0.000500
KU DA,2,0.000500
U MI,2,0.000500
MI TU,2,0.000500
TE JA,2,0.000500
AB81 AB37,2,0.000500
AB10 AB07,2,0.000500
AB10 AB73,2,0.000500
AB73 AB69,2,0.000500
AB80 AB26,2,0.000500
AB81 AB01,2,0.000500
AB53 AB58,2,0.000500
AB53 AB26,2,0.000500
AB53 AB73,2,0.000500
RI MI,2,0.000500
AB100 AB28,2,0.000500
AB77 AB02,2,0.000500
AB79 AB06,2,0.000500
AB37 AB01,2,0.000500
AB78 AB69,2,0.000500
TI DA,2,0.000500
AB01 AB10,2,0.000500
AB28 AB05,2,0.000500
QE RA,2,0.000500
DA U,2,0.000500
GRA B,2,0.000500
GRA K,2,0.000500
K L2,2,0.000500
I TO,2,0.000500
DI RA,2,0.000500
JA MI,2,0.000500
PA DE,2,0.000500
PO TO,2,0.000500
TO KU,2,0.000500
DE ZA,2,0.000500
AB04 AB67,2,0.000500
AB45 AB17,2,0.000500
AB11 AB05,2,0.000500
AB05 AB81,2,0.000500
MA I,2,0.000500
KA NA,2,0.000500
KI TA,2,0.000500
PU VINA,2,0.000500
PA DI,2,0.000500
AB50 AB131A,2,0.000500
AB39 AB31,2,0.000500
AB28 AB06,2,0.000500
AB07 AB01,2,0.000500
SI DI,2,0.000500
AB07 AB57,2,0.000500
AB47 AB81,2,0.000500
GRA KU,2,0.000500
TU RU,2,0.000500
TU MA,2,0.000500
AB69 AB80,2,0.000500
AB69 AB26,2,0.000500
AB80 AB53,2,0.000500
AB69 AB21F,2,0.000500
TU QIF,2,0.000500
AB24 AB41,2,0.000500
AB77 AB10,2,0.000500
I QA,2,0.000500
AB28 AB16,2,0.000500
[?] AB34?,2,0.000500
NA DU,2,0.000500
AB06 AB51,2,0.000500
AB10 AB34,2,0.000500
AB34 AB41,2,0.000500
SI NI,2,0.000500
KA TA,2,0.000500
AB69 AB13,2,0.000500
TU ME,2,0.000500
AB55 AB27,2,0.000500
AB60 AB164A,2,0.000500
AB164A AB37,2,0.000500
RA *164A,2,0.000500
*164A TI,2,0.000500
PA SE,2,0.000500
AB03 AB02,2,0.000500
AB81 AB80,2,0.000500
AB80 AB65,2,0.000500
OLE RI,2,0.000500
SI ME,2,0.000500
RI JA,2,0.000500
PA SA,2,0.000500
ME KI,2,0.000500
AB03 AB31,2,0.000500
WI TE,2,0.000500
AB26 AB40,2,0.000500
AB40 AB04,2,0.000500
TA TI,2,0.000500
AB04 AB04,2,0.000500
AB59 AB37,2,0.000500
TI NI,2,0.000500
]SA RA,2,0.000500
RA DI,2,0.000500
AB28 AB73,2,0.000500
AB60 AB07,2,0.000500
AB67 A310,2,0.000500
TA JA,2,0.000500
AB57 AB77,2,0.000500
AB28 AB59,2,0.000500
AB57 AB21F,2,0.000500
A RE,2,0.000500
AB57 AB28,2,0.000500
AB80 AB24,2,0.000500
AB23 AB26,2,0.000500
AB31 AB57,2,0.000500
AB57 AB80,2,0.000500
AB67 AB45,2,0.000500
KI DE,2,0.000500
SA JA,2,0.000500
SA PU,2,0.000500
[?] AB37,2,0.000500
E KA,2,0.000500
RE PU,2,0.000500
AB65 AB04,2,0.000500
DA JU,2,0.000500
JU TE,2,0.000500
SA MU,2,0.000500
AB37 AB81,2,0.000500
TI TI,2,0.000500
TI KU,2,0.000500
KA KI,2,0.000500
KA A,2,0.000500
AB37 AB77,2,0.000500
AB51 AB53,2,0.000500
DA NI,2,0.000500
AB01 AB30,2,0.000500
AB27 AB69,2,0.000500
RE TU,2,0.000500
SU PU2,2,0.000500
AB41 AB60,2,0.000500
[?] AB40,2,0.000500
ZU DU,2,0.000500
ME TA,2,0.000500
AB79 AB51,2,0.000500
SI RU,2,0.000500
AB41 AB26,2,0.000500
AB78 AB37,2,0.000500
QE TI,2,0.000500
DA KI,2,0.000500
RI I,2,0.000500
NI NA,2,0.000500
TE FIC,2,0.000500
WA DU,2,0.000500
]OLE RI,2,0.000500
AB73 AB37,2,0.000500
MI TI,2,0.000500
AB37 [?],2,0.000500
[?] AB31,2,0.000500
AB07 AB24,2,0.000500
AB54 AB51,2,0.000500
AB30 AB73,2,0.000500
AB30 AB06,2,0.000500
RU JA,2,0.000500
AB01 AB56,2,0.000500
PA RI,2,0.000500
AB57 AB51,2,0.000500
JA DU,2,0.000500
KI KI,2,0.000500
RE DI,2,0.000500
AB27 AB07,2,0.000500
AB67 AB67,2,0.000500
DI DE,2,0.000500
DE RU,2,0.000500
AB08 AB69,2,0.000500
AB59 AB44,2,0.000500
AB27 AB73,2,0.000500
AB26 AB81,2,0.000500
RE MI,2,0.000500
TA KE,2,0.000500
AB80 AB02,2,0.000500
MA RO,2,0.000500
JU QE,2,0.000500
AB04 A301,2,0.000500
RE SE,2,0.000500
KI DI,2,0.000500
AB65 AB81,2,0.000500
AB67 AB07,2,0.000500
VIR *313B,2,0.000500
[?] AB45,2,0.000500
DA DU,2,0.000500
AB30 [?],2,0.000500
A TE,2,0.000500
MI TA,2,0.000500
NU TI,2,0.000500
AB37 AB80,2,0.000500
AB77 AB55,2,0.000500
NE TE,2,0.000500
AB24 AB04,2,0.000500
AB78 AB50,2,0.000500
AB54 AB57,2,0.000500
AB188 AB51,2,0.000500
AB27 AB02,2,0.000500
B SE,2,0.000500
AB59 AB30,2,0.000500
AB61 AB73,2,0.000500
AB54 AB07,2,0.000500
AB57 AB59,2,0.000500
A333 AB07,2,0.000500
AB58 AB77,2,0.000500
AB79 AB07,2,0.000500
B PA,2,0.000500
PA D,2,0.000500
AB28 AB57,2,0.000500
AB59 AB01,2,0.000500
AB37 A319,2,0.000500
AB40 AB57,2,0.000500
AB57 AB58,2,0.000500
AB22 AB59,2,0.000500
AB22 AB09,2,0.000500
RU SI,2,0.000500
TI RU,2,0.000500
B B,2,0.000500
DU ZA,2,0.000500
AB51 [?],2,0.000500
[?] AB17,2,0.000500
[?] AB01,2,0.000500
A MA,2,0.000500
I SI,2,0.000500
AB81 AB39,2,0.000500
DU RE,2,0.000500
[?] AB58,2,0.000500
[?] AB60,2,0.000500
SA NE,2,0.000500
[?] AB59,2,0.000500
SI I,2,0.000500
JA PA,2,0.000500
[?] AB41,2,0.000500
[?] AB03,2,0.000500
AB57 AB03,2,0.000500
AB08 AB07,2,0.000500
AB08 AB57,2,0.000500
JA KU,2,0.000500
[?] AB04,2,0.000500
NOT PRESERVED,2,0.000500
AB06 AB08,2,0.000500
AB08 AB56,2,0.000500
AB10 AB06,2,0.000500
AB53 AB41,2,0.000500
AB03 AB81,2,0.000500
AB37 AB53,2,0.000500
AB28 AB79,2,0.000500
AB78 AB45,2,0.000500
KU JU,2,0.000500
AB81 AB65,2,0.000500
AB04 [?],2,0.000500
AB56 [?],2,0.000500
AB57 AB67,2,0.000500
IMMEDIATELY AFTER,2,0.000500
AFTER KU,2,0.000500
MA HT,2,0.000500
RE HT,2,0.000500
OVISM SI,2,0.000500
SI AU,2,0.000500
TA DA,2,0.000500
DU PU2,2,0.000500
PU2 RE,2,0.000500
TA DA[,2,0.000500
I DA,2,0.000500
TI ZA,2,0.000500
MI ZA,2,0.000500
AB60 AB13,2,0.000500
AB28 A301,2,0.000500
JA SA,2,0.000500
*309A RI,2,0.000500
RI JU,2,0.000500
A309A? [?],2,0.000500
A309B AB53?,2,0.000500
A309B [?],2,0.000500
[?] AB67,2,0.000500
A309C AB53?,2,0.000500
NA TE,2,0.000500
I PI,2,0.000500
PA [?],2,0.000500
AB28 AB39,2,0.000500
AB06 AB04,2,0.000500
AB69 AB73,2,0.000500
KA DI,2,0.000500
QE SI,2,0.000500
ZU E,2,0.000500
VINA RA,2,0.000500
AB01 AB38,2,0.000500
AB78 AB41,2,0.000500
AB79 AB38,2,0.000500
AB77 AB07,2,0.000500
AB41 AB04,2,0.000500
SI TE,2,0.000500
AB08 AB37,2,0.000500
AB41 AB39,2,0.000500
AB39 AB67,2,0.000500
A RA[,1,0.000250
PA RE,1,0.000250
]A SU,1,0.000250
]MI KI,1,0.000250
KI SA,1,0.000250
SA NE[,1,0.000250
AB73 AB118,1,0.000250
DA TO,1,0.000250
PU WA,1,0.000250
AB01 AB05,1,0.000250
AB50 AB54,1,0.000250
AB26 AB73,1,0.000250
AB79 A301,1,0.000250
A301 AB09,1,0.000250
AB09 AB45,1,0.000250
AB45 AB21F,1,0.000250
AB60 AB131B,1,0.000250
RU MI,1,0.000250
ZU SE,1,0.000250
SE DE,1,0.000250
DE QIF,1,0.000250
KA NE,1,0.000250
]KI NU,1,0.000250
]PI PU3,1,0.000250
AB67 AB55,1,0.000250
AB77 AB24,1,0.000250
AB39 A314,1,0.000250
PI TI,1,0.000250
TI NE,1,0.000250
]DE MI,1,0.000250
AB39 AB37,1,0.000250
AB37 AB24,1,0.000250
AB24 AB08,1,0.000250
AB45 AB58,1,0.000250
[?] AB47,1,0.000250
AB47 AB04,1,0.000250
[?] AB30,1,0.000250
AB17? AB41,1,0.000250
AB28 AB47,1,0.000250
[?] AB53,1,0.000250
SE SI[,1,0.000250
B BOSM,1,0.000250
AB31 AB58,1,0.000250
NA RE,1,0.000250
AB07 AB17,1,0.000250
AB17 AB44,1,0.000250
AB79 AB58,1,0.000250
DI ZA,1,0.000250
ZA KE,1,0.000250
U KI,1,0.000250
ZU SU,1,0.000250
]VIR KA,1,0.000250
AB79 AB22F,1,0.000250
AB22F AB07,1,0.000250
DI QE,1,0.000250
ZU 22F,1,0.000250
22F DI,1,0.000250
AB80 AB79,1,0.000250
MA ZU,1,0.000250
]VIR GRA,1,0.000250
AB10 AB66,1,0.000250
AB56 AB01,1,0.000250
SE NE[,1,0.000250
U TA2,1,0.000250
AB24 AB37,1,0.000250
AB58 AB37,1,0.000250
AB51 AB37,1,0.000250
AB59 AB03,1,0.000250
DU TI,1,0.000250
DA SU,1,0.000250
SU TI,1,0.000250
TA PA,1,0.000250
KA PA[,1,0.000250
AB06 AB02,1,0.000250
AB51 AB58,1,0.000250
AB58 AB30,1,0.000250
NA RO,1,0.000250
DU SU,1,0.000250
SU NI,1,0.000250
GRA H,1,0.000250
AB76 AB37,1,0.000250
A305 AB26,1,0.000250
A312 AB59,1,0.000250
RU RA,1,0.000250
SU JA,1,0.000250
DE NU,1,0.000250
RO NA,1,0.000250
RU RA2,1,0.000250
RU ZU,1,0.000250
ZU NA,1,0.000250
SA QE,1,0.000250
QE RI,1,0.000250
*400VAS RI,1,0.000250
AB51 AB34,1,0.000250
AB34 AB81,1,0.000250
QA SA,1,0.000250
SA DI,1,0.000250
]QE KA,1,0.000250
RA RI,1,0.000250
RI DE[,1,0.000250
]WI SA,1,0.000250
DU PA3,1,0.000250
GRA *22M,1,0.000250
KA PO,1,0.000250
PO RU,1,0.000250
KU TA[,1,0.000250
QIF NE,1,0.000250
NU RA,1,0.000250
MA NU,1,0.000250
SE KU,1,0.000250
TI NU,1,0.000250
NU JA,1,0.000250
JA NU,1,0.000250
TU JA,1,0.000250
]RU PA,1,0.000250
AB57 A718,1,0.000250
AB09 AB81,1,0.000250
AB47 AB55,1,0.000250
AB55 AB60,1,0.000250
AB60 AB56,1,0.000250
AB80 AB55,1,0.000250
AB77 AB11,1,0.000250
AB11 AB26,1,0.000250
AB69 AB57,1,0.000250
AB08 AB28,1,0.000250
AB28 [?],1,0.000250
AB37 AB55,1,0.000250
AB55 AB57,1,0.000250
AB51 AB56,1,0.000250
KI NE,1,0.000250
TA RO,1,0.000250
AB59 AB02,1,0.000250
AB39 AB34,1,0.000250
AB34 AB04,1,0.000250
AB67 AB24,1,0.000250
DA MI,1,0.000250
NE KU,1,0.000250
KO SA,1,0.000250
SA I,1,0.000250
KU KU,1,0.000250
RA MU,1,0.000250
RO U,1,0.000250
MI RU,1,0.000250
RU TA,1,0.000250
NA DA,1,0.000250
SA TA,1,0.000250
U DI,1,0.000250
DI MI,1,0.000250
U SU,1,0.000250
AB01 AB24,1,0.000250
AB24 AB81,1,0.000250
AB01 AB73,1,0.000250
AB04 AB56,1,0.000250
AB56 AB27,1,0.000250
AB06 AB01,1,0.000250
AB07 AB73,1,0.000250
AB10 AB58,1,0.000250
AB31 AB59,1,0.000250
AB69 AB65,1,0.000250
AB65 AB80,1,0.000250
AB70 AB31,1,0.000250
AB31 AB28,1,0.000250
AB73 AB26,1,0.000250
AB26 AB59,1,0.000250
AB60 AB23,1,0.000250
AB81 AB81,1,0.000250
RI SU,1,0.000250
SUS I,1,0.000250
A327 AB65,1,0.000250
AB73 AB41,1,0.000250
AB57 A345,1,0.000250
AB70 AB57,1,0.000250
KO JA,1,0.000250
MI SI,1,0.000250
A322 AB53,1,0.000250
AB26 AB60,1,0.000250
AB58 AB57,1,0.000250
AB02 AB06,1,0.000250
AB26 AB76,1,0.000250
AB26 AB79,1,0.000250
AB31 AB78,1,0.000250
AB78 AB53,1,0.000250
AB45 AB55,1,0.000250
PU RE,1,0.000250
OLE QE,1,0.000250
QE DI,1,0.000250
KI TA2,1,0.000250
]A RA,1,0.000250
JU U,1,0.000250
]RA RI,1,0.000250
RI U,1,0.000250
AB53 AB24,1,0.000250
AB57 AB73,1,0.000250
A306 AB67,1,0.000250
AB67 AB66,1,0.000250
AB65 AB10,1,0.000250
DA TU,1,0.000250
PI SA,1,0.000250
TU PA,1,0.000250
DI DA,1,0.000250
]SI DU,1,0.000250
AB69 AB02,1,0.000250
AB02 AB07,1,0.000250
]OLE MI,1,0.000250
]SA RA2,1,0.000250
DI JA,1,0.000250
DA KU[,1,0.000250
VIR *313C,1,0.000250
]DU NE,1,0.000250
A629 AB01,1,0.000250
AB01 AB47,1,0.000250
RU NU,1,0.000250
NU SE,1,0.000250
SE ME,1,0.000250
WA TU,1,0.000250
]MI TA,1,0.000250
AB54 AB69,1,0.000250
AB26 AB56,1,0.000250
AB56 AB09,1,0.000250
AB09 AB13,1,0.000250
AB100 A329,1,0.000250
AB26 [?],1,0.000250
AB26 AB66,1,0.000250
AB45 AB59,1,0.000250
DU NE,1,0.000250
NE SI,1,0.000250
DE TA,1,0.000250
VINA TE,1,0.000250
VINA SA,1,0.000250
AB16 AB27,1,0.000250
AB27 AB05,1,0.000250
QA RE,1,0.000250
RE TO,1,0.000250
GRA DA,1,0.000250
MI KA[,1,0.000250
QIF NE[,1,0.000250
AB73 AB77,1,0.000250
AB34? AB59,1,0.000250
AB77 AB76,1,0.000250
PU MA,1,0.000250
MA KU[,1,0.000250
[?] AB50,1,0.000250
AB50 AB80,1,0.000250
AB80 AB81,1,0.000250
]KA RA2[,1,0.000250
A PU2,1,0.000250
PU2 NA,1,0.000250
AB08 AB29,1,0.000250
AB29 AB06,1,0.000250
AB77 AB80,1,0.000250
AB86 AB41,1,0.000250
AB41 AB30,1,0.000250
SI SI,1,0.000250
[?] AB118,1,0.000250
AB118 AB77,1,0.000250
]OLE U,1,0.000250
AB26 AB07,1,0.000250
]RU DI,1,0.000250
AB53 A305,1,0.000250
AB53 AB77,1,0.000250
RI KA,1,0.000250
AB51 AB123,1,0.000250
AB123 AB08,1,0.000250
DU A,1,0.000250
GRA L3L3,1,0.000250
AB13 AB03,1,0.000250
ME PA,1,0.000250
AB06 AB73,1,0.000250
AB31 AB11,1,0.000250
SA PO,1,0.000250
