source_id,artifact_id,line_id,sign_sequence,provenance,notes,ingestion_timestamp,source_name,provenance_url
sigla,HT 26A,word_3,AB73 AB67 AB09 AB06,http://sigla.phis.me/document/HT%2026a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026a/index-word.html
sigla,HT 26A,word_4,AB10 AB55 AB21F,http://sigla.phis.me/document/HT%2026a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026a/index-word.html
sigla,HT 26B,word_2,AB03 AB02 AB30,http://sigla.phis.me/document/HT%2026b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026b/index-word.html
sigla,HT 26B,word_3,AB77 AB10 AB79 AB30,http://sigla.phis.me/document/HT%2026b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026b/index-word.html
sigla,HT 26B,word_4,AB28 A308,http://sigla.phis.me/document/HT%2026b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026b/index-word.html
sigla,HT 26B,word_5,AB188 AB86,http://sigla.phis.me/document/HT%2026b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2026b/index-word.html
youngerarchive,HT 27,a.1_log,VIR,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.1_stmt,TI NI TA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.3_stmt,]I MI SA RA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.4_stmt,KI DA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.5_stmt,]SA RA DI,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.6_log,VIR,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.7_stmt,KU RO,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.8_log,FIC,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,a.8_log,VINA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,b.1_log,VINA WA SA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,b.1_stmt,]MI DA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 27,b.6_log,VINA GRA SA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
sigla,HT 27A,word_1,AB37 AB30 AB59,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_2,AB28 AB73 AB31 AB60,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_3,AB78,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_4,AB67 AB01,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_5,AB67 A310,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_6,AB81 A305,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_7,AB31 AB60 AB07,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27A,word_8,AB81 AB02,http://sigla.phis.me/document/HT%2027a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027a/index-word.html
sigla,HT 27B,word_1,AB73 AB01,http://sigla.phis.me/document/HT%2027b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027b/index-word.html
sigla,HT 27B,word_2,[?] [?],http://sigla.phis.me/document/HT%2027b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027b/index-word.html
sigla,HT 27B,word_3,AB03 AB09,http://sigla.phis.me/document/HT%2027b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/HT%2027b/index-word.html
youngerarchive,HT 28,a.1-2_log,GRA QE,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.1-2_stmt,JA QIF,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.1_stmt,A SI JA KA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.2-3_log,OLE TU,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.2_log,OLE KI,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.2_log,OLE MI,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.2_log,OLE U,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.3_log,FIC,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.3_log,OLE DI,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.3_stmt,SA RA2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.4_log,VINA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.4_log,VIR KA VINA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.5_log,GRA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
youngerarchive,HT 28,a.5_stmt,A RU DA RA,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
